group,learner_need,question_policy,answer_policy,tone_policy,n,question_first,answer_reveal_correct,warmth_marker,question_any,answer_reveal_any,word_count,char_count,sentence_count
ALL,direct,explain_only,reveal,neutral,40,0.0,1.0,0.0,0.0,1.0,49.1,266.05,4.95
ALL,direct,explain_only,reveal,warm,40,0.0,1.0,0.125,0.0,1.0,52.675,291.4,4.975
ALL,direct,explain_only,withhold,neutral,40,0.0,0.0,0.0,0.0,0.0,49.3,278.3,3.925
ALL,direct,explain_only,withhold,warm,40,0.0,0.0,0.2,0.0,0.0,61.45,352.0,4.35
ALL,direct,question_first,reveal,neutral,40,1.0,1.0,0.0,1.0,1.0,67.05,364.95,5.6
ALL,direct,question_first,reveal,warm,40,1.0,1.0,0.3,1.0,1.0,79.275,430.525,5.725
ALL,direct,question_first,withhold,neutral,40,1.0,0.0,0.0,1.0,0.0,72.25,402.075,4.65
ALL,direct,question_first,withhold,warm,40,0.925,0.0,0.5,1.0,0.0,89.525,496.075,5.325
ALL,explore,explain_only,reveal,neutral,40,0.0,1.0,0.0,0.0,1.0,50.325,280.7,4.95
ALL,explore,explain_only,reveal,warm,40,0.0,1.0,0.2,0.0,1.0,53.45,305.525,4.65
ALL,explore,explain_only,withhold,neutral,40,0.0,0.0,0.0,0.0,0.0,50.625,289.8,3.575
ALL,explore,explain_only,withhold,warm,40,0.0,0.0,0.3,0.0,0.0,57.9,334.325,3.75
ALL,explore,question_first,reveal,neutral,40,1.0,0.95,0.0,1.0,0.975,73.55,412.7,5.55
ALL,explore,question_first,reveal,warm,40,1.0,0.975,0.3,1.0,0.975,80.875,443.45,5.425
ALL,explore,question_first,withhold,neutral,40,1.0,0.0,0.0,1.0,0.0,67.725,385.05,3.875
ALL,explore,question_first,withhold,warm,40,1.0,0.0,0.4,1.0,0.0,74.0,409.425,3.95
MiniMax-M2.7,direct,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,33.625,179.25,3.75
MiniMax-M2.7,direct,explain_only,reveal,warm,8,0.0,1.0,0.0,0.0,1.0,37.375,208.75,4.5
MiniMax-M2.7,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,43.625,242.0,3.5
MiniMax-M2.7,direct,explain_only,withhold,warm,8,0.0,0.0,0.25,0.0,0.0,47.75,275.125,4.25
MiniMax-M2.7,direct,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,45.875,246.125,4.125
MiniMax-M2.7,direct,question_first,reveal,warm,8,1.0,1.0,0.0,1.0,1.0,60.625,343.5,5.125
MiniMax-M2.7,direct,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,53.375,299.625,4.125
MiniMax-M2.7,direct,question_first,withhold,warm,8,1.0,0.0,0.375,1.0,0.0,63.25,358.125,4.875
MiniMax-M2.7,explore,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,43.75,247.75,5.375
MiniMax-M2.7,explore,explain_only,reveal,warm,8,0.0,1.0,0.25,0.0,1.0,48.125,281.875,4.75
MiniMax-M2.7,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,45.5,252.125,4.0
MiniMax-M2.7,explore,explain_only,withhold,warm,8,0.0,0.0,0.375,0.0,0.0,45.375,262.625,3.5
MiniMax-M2.7,explore,question_first,reveal,neutral,8,1.0,0.875,0.0,1.0,0.875,54.5,308.75,4.375
MiniMax-M2.7,explore,question_first,reveal,warm,8,1.0,1.0,0.25,1.0,1.0,67.625,380.5,5.25
MiniMax-M2.7,explore,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,54.125,316.125,3.5
MiniMax-M2.7,explore,question_first,withhold,warm,8,1.0,0.0,0.375,1.0,0.0,51.0,289.625,3.125
MiniMax-M3,direct,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,61.75,339.75,5.375
MiniMax-M3,direct,explain_only,reveal,warm,8,0.0,1.0,0.0,0.0,1.0,50.625,278.875,4.625
MiniMax-M3,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,55.875,319.625,4.0
MiniMax-M3,direct,explain_only,withhold,warm,8,0.0,0.0,0.125,0.0,0.0,77.0,441.25,4.5
MiniMax-M3,direct,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,71.625,379.125,5.625
MiniMax-M3,direct,question_first,reveal,warm,8,1.0,1.0,0.5,1.0,1.0,78.125,415.625,5.75
MiniMax-M3,direct,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,76.375,420.25,4.125
MiniMax-M3,direct,question_first,withhold,warm,8,0.75,0.0,0.5,1.0,0.0,96.5,534.125,5.125
MiniMax-M3,explore,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,51.125,281.5,4.625
MiniMax-M3,explore,explain_only,reveal,warm,8,0.0,1.0,0.125,0.0,1.0,60.25,330.125,4.625
MiniMax-M3,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,63.125,358.875,4.0
MiniMax-M3,explore,explain_only,withhold,warm,8,0.0,0.0,0.375,0.0,0.0,85.75,480.25,4.25
MiniMax-M3,explore,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,76.625,418.5,6.5
MiniMax-M3,explore,question_first,reveal,warm,8,1.0,0.875,0.25,1.0,0.875,93.0,491.25,5.875
MiniMax-M3,explore,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,58.125,324.875,3.0
MiniMax-M3,explore,question_first,withhold,warm,8,1.0,0.0,0.0,1.0,0.0,70.0,377.5,3.25
deepseek-v4-pro,direct,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,44.125,234.625,5.375
deepseek-v4-pro,direct,explain_only,reveal,warm,8,0.0,1.0,0.25,0.0,1.0,45.5,245.875,4.875
deepseek-v4-pro,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,32.5,174.125,3.625
deepseek-v4-pro,direct,explain_only,withhold,warm,8,0.0,0.0,0.125,0.0,0.0,51.0,290.75,4.125
deepseek-v4-pro,direct,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,56.875,307.375,5.875
deepseek-v4-pro,direct,question_first,reveal,warm,8,1.0,1.0,0.375,1.0,1.0,65.25,351.0,5.25
deepseek-v4-pro,direct,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,55.5,297.5,4.75
deepseek-v4-pro,direct,question_first,withhold,warm,8,0.875,0.0,0.625,1.0,0.0,64.875,361.5,4.75
deepseek-v4-pro,explore,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,47.25,258.375,5.125
deepseek-v4-pro,explore,explain_only,reveal,warm,8,0.0,1.0,0.25,0.0,1.0,41.625,242.375,3.875
deepseek-v4-pro,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,41.5,231.375,3.375
deepseek-v4-pro,explore,explain_only,withhold,warm,8,0.0,0.0,0.375,0.0,0.0,36.0,211.0,2.875
deepseek-v4-pro,explore,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,72.375,410.875,5.25
deepseek-v4-pro,explore,question_first,reveal,warm,8,1.0,1.0,0.375,1.0,1.0,50.75,284.625,4.25
deepseek-v4-pro,explore,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,57.375,308.625,4.0
deepseek-v4-pro,explore,question_first,withhold,warm,8,1.0,0.0,0.625,1.0,0.0,59.0,329.125,3.875
doubao-seed-2.0-lite,direct,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,66.5,361.875,6.0
doubao-seed-2.0-lite,direct,explain_only,reveal,warm,8,0.0,1.0,0.375,0.0,1.0,80.5,448.125,6.375
doubao-seed-2.0-lite,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,71.25,410.25,4.75
doubao-seed-2.0-lite,direct,explain_only,withhold,warm,8,0.0,0.0,0.25,0.0,0.0,78.875,457.5,4.875
doubao-seed-2.0-lite,direct,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,100.75,565.75,7.125
doubao-seed-2.0-lite,direct,question_first,reveal,warm,8,1.0,1.0,0.5,1.0,1.0,118.375,648.25,6.625
