group,factor,metric,wording_b_minus_a,bootstrap_ci_low,bootstrap_ci_high
ALL,question_policy,question_first,0.15625,0.12812500000000004,0.18125000000000002
ALL,answer_policy,answer_reveal_correct,0.006249999999999978,-0.015625,0.028124999999999956
ALL,tone_policy,warmth_marker,-0.140625,-0.190625,-0.08749999999999997
MiniMax-M2.7,question_policy,question_first,0.34375,0.265625,0.421875
MiniMax-M2.7,answer_policy,answer_reveal_correct,0.0,-0.046875,0.046875
MiniMax-M2.7,tone_policy,warmth_marker,-0.25,-0.375,-0.078125
MiniMax-M3,question_policy,question_first,0.265625,0.21875,0.3125
MiniMax-M3,answer_policy,answer_reveal_correct,0.015625,-0.03125,0.0625
MiniMax-M3,tone_policy,warmth_marker,-0.140625,-0.25,-0.03125
deepseek-v4-pro,question_policy,question_first,0.15625,0.078125,0.25
deepseek-v4-pro,answer_policy,answer_reveal_correct,0.015625,0.0,0.046875
deepseek-v4-pro,tone_policy,warmth_marker,-0.171875,-0.3125,-0.046875
doubao-seed-2.0-lite,question_policy,question_first,0.0,0.0,0.0
doubao-seed-2.0-lite,answer_policy,answer_reveal_correct,0.0,-0.046875,0.046875
doubao-seed-2.0-lite,tone_policy,warmth_marker,-0.046875,-0.171875,0.046875
glm-5.2,question_policy,question_first,0.015625,0.0,0.046875
glm-5.2,answer_policy,answer_reveal_correct,0.0,0.0,0.0
glm-5.2,tone_policy,warmth_marker,-0.09375,-0.203125,0.015625
