model,event,n,agreement,positive_agreement,negative_agreement,source_clusters,agreement_bootstrap_95_low,agreement_bootstrap_95_high
MiniMax-M2.7,affect_acknowledgement,128,0.7109375,0.463768115942029,0.8021390374331551,32,0.6484375,0.7734375
MiniMax-M2.7,answer_reveal,128,0.9921875,0.996078431372549,0.0,32,0.9765625,1.0
MiniMax-M2.7,epistemic_qualification,128,0.921875,0.16666666666666666,0.9590163934426229,32,0.8671875,0.96875
MiniMax-M2.7,information_request,128,1.0,,1.0,32,1.0,1.0
MiniMax-M2.7,learner_choice,128,0.8125,0.2,0.8938053097345132,32,0.7265625,0.8828125
MiniMax-M2.7,reasoning_elicitation,128,0.8671875,0.19047619047619047,0.9276595744680851,32,0.8125,0.921875
MiniMax-M2.7,unsupported_ability_claim,128,0.8984375,0.23529411764705882,0.9456066945606695,32,0.84375,0.9453125
MiniMax-M2.7,worked_explanation,128,0.9765625,0.9880478087649402,0.4,32,0.9453125,1.0
MiniMax-M3,affect_acknowledgement,128,0.7109375,0.7932960893854749,0.5194805194805194,32,0.640625,0.7734375
MiniMax-M3,answer_reveal,128,0.7890625,0.8732394366197183,0.37209302325581395,32,0.71875,0.859375
MiniMax-M3,epistemic_qualification,128,0.8828125,0.0,0.9377593360995851,32,0.8125,0.9453125
MiniMax-M3,information_request,128,1.0,,1.0,32,1.0,1.0
MiniMax-M3,learner_choice,128,0.625,0.2727272727272727,0.7473684210526316,32,0.546875,0.703125
MiniMax-M3,reasoning_elicitation,128,0.578125,0.5645161290322581,0.5909090909090909,32,0.5,0.6640625
MiniMax-M3,unsupported_ability_claim,128,0.703125,0.17391304347826086,0.819047619047619,32,0.625,0.78125
MiniMax-M3,worked_explanation,128,0.90625,0.9491525423728814,0.4,32,0.859375,0.953125
deepseek-v4-pro,affect_acknowledgement,128,0.7109375,0.7549668874172185,0.6476190476190476,32,0.640625,0.78125
deepseek-v4-pro,answer_reveal,128,1.0,1.0,,32,1.0,1.0
deepseek-v4-pro,epistemic_qualification,128,0.9375,0.6666666666666666,0.9655172413793104,32,0.890625,0.9765625
deepseek-v4-pro,information_request,128,1.0,,1.0,32,1.0,1.0
deepseek-v4-pro,learner_choice,128,0.9296875,0.18181818181818182,0.963265306122449,32,0.890625,0.96875
deepseek-v4-pro,reasoning_elicitation,128,0.9609375,0.0,0.9800796812749004,32,0.921875,0.9921875
deepseek-v4-pro,unsupported_ability_claim,128,0.9765625,0.4,0.9880478087649402,32,0.9453125,1.0
deepseek-v4-pro,worked_explanation,128,0.96875,0.9838709677419355,0.5,32,0.9375,0.9921875
doubao-seed-2.0-lite,affect_acknowledgement,128,0.90625,0.9230769230769231,0.88,32,0.8671875,0.9453125
doubao-seed-2.0-lite,answer_reveal,128,1.0,1.0,,32,1.0,1.0
doubao-seed-2.0-lite,epistemic_qualification,128,0.9375,0.0,0.967741935483871,32,0.8828125,0.9767578124999972
doubao-seed-2.0-lite,information_request,128,1.0,,1.0,32,1.0,1.0
doubao-seed-2.0-lite,learner_choice,128,0.921875,0.0,0.959349593495935,32,0.875,0.9609375
doubao-seed-2.0-lite,reasoning_elicitation,128,0.9140625,0.0,0.9551020408163265,32,0.8671875,0.9609375
doubao-seed-2.0-lite,unsupported_ability_claim,128,0.9765625,0.0,0.9881422924901185,32,0.953125,1.0
doubao-seed-2.0-lite,worked_explanation,128,1.0,1.0,1.0,32,1.0,1.0
glm-5.3,affect_acknowledgement,128,0.7109375,0.7175572519083969,0.704,32,0.640625,0.78125
glm-5.3,answer_reveal,128,0.7734375,0.49122807017543857,0.8542713567839196,32,0.6953125,0.8515625
glm-5.3,epistemic_qualification,128,0.9140625,0.0,0.9551020408163265,32,0.859375,0.96875
glm-5.3,information_request,128,1.0,,1.0,32,1.0,1.0
glm-5.3,learner_choice,128,0.9375,0.2,0.967479674796748,32,0.8984375,0.96875
glm-5.3,reasoning_elicitation,128,0.9453125,0.97165991902834,0.2222222222222222,32,0.90625,0.9765625
glm-5.3,unsupported_ability_claim,128,0.96875,0.3333333333333333,0.984,32,0.9375,0.9921875
glm-5.3,worked_explanation,128,0.8125,0.8811881188118812,0.5555555555555556,32,0.7265625,0.890625
