target_act,arm,metric,contexts,models,mean,context_cluster_ci_low,context_cluster_ci_high
probing,adaptive_router,has_question_mark,48,5,0.7,0.6375000000000001,0.7625000000000001
probing,adaptive_router,first_sentence_has_question_mark,48,5,0.21666666666666667,0.15833333333333333,0.2791666666666666
probing,adaptive_router,question_mark_count,48,5,0.7375,0.6708333333333334,0.7999999999999999
probing,adaptive_router,word_count,48,5,34.80833333333333,32.5496875,37.033541666666665
probing,adaptive_router,char_count,48,5,181.69166666666666,169.8,193.391875
probing,generic,has_question_mark,48,5,0.2875,0.20833333333333334,0.375
probing,generic,first_sentence_has_question_mark,48,5,0.025,0.008333333333333333,0.04583333333333334
probing,generic,question_mark_count,48,5,0.3,0.2166666666666667,0.3916666666666666
probing,generic,word_count,48,5,42.69583333333333,40.01645833333334,45.24239583333334
probing,generic,char_count,48,5,225.075,211.2577083333333,237.92989583333335
probing,oracle_action,has_question_mark,48,5,1.0,1.0,1.0
probing,oracle_action,first_sentence_has_question_mark,48,5,0.9666666666666667,0.9249999999999999,0.9958333333333332
probing,oracle_action,question_mark_count,48,5,1.0375,1.0166666666666666,1.0625
probing,oracle_action,word_count,48,5,30.020833333333332,28.654062500000002,31.40833333333333
probing,oracle_action,char_count,48,5,157.95833333333334,150.99562500000002,165.19197916666667
probing,uniform_scaffold,has_question_mark,48,5,0.9625,0.9333333333333332,0.9875000000000002
probing,uniform_scaffold,first_sentence_has_question_mark,48,5,0.2708333333333333,0.2125,0.3333333333333333
probing,uniform_scaffold,question_mark_count,48,5,1.0541666666666667,1.0083333333333335,1.0958333333333334
probing,uniform_scaffold,word_count,48,5,34.53333333333333,32.454062500000006,36.60010416666667
probing,uniform_scaffold,char_count,48,5,181.23333333333332,170.1414583333333,192.25625000000002
telling,adaptive_router,has_question_mark,48,5,0.6333333333333333,0.5541666666666667,0.7125
telling,adaptive_router,first_sentence_has_question_mark,48,5,0.2375,0.18333333333333335,0.2916666666666667
telling,adaptive_router,question_mark_count,48,5,0.6416666666666667,0.5583333333333333,0.7208333333333333
telling,adaptive_router,word_count,48,5,33.391666666666666,31.408229166666665,35.63333333333333
telling,adaptive_router,char_count,48,5,175.20833333333334,164.03333333333333,187.8765625
telling,generic,has_question_mark,48,5,0.30833333333333335,0.225,0.3958333333333333
telling,generic,first_sentence_has_question_mark,48,5,0.05,0.020833333333333332,0.08333333333333333
telling,generic,question_mark_count,48,5,0.30833333333333335,0.225,0.3958333333333333
telling,generic,word_count,48,5,41.35,38.51666666666667,44.31270833333333
telling,generic,char_count,48,5,216.99583333333334,201.62624999999997,231.65062500000002
telling,oracle_action,has_question_mark,48,5,0.0,0.0,0.0
telling,oracle_action,first_sentence_has_question_mark,48,5,0.0,0.0,0.0
telling,oracle_action,question_mark_count,48,5,0.0,0.0,0.0
telling,oracle_action,word_count,48,5,39.175,37.0625,41.25427083333333
telling,oracle_action,char_count,48,5,207.92083333333332,196.4075,219.85447916666666
telling,uniform_scaffold,has_question_mark,48,5,0.8541666666666666,0.7791666666666667,0.9208333333333334
telling,uniform_scaffold,first_sentence_has_question_mark,48,5,0.2875,0.22083333333333335,0.3541666666666667
telling,uniform_scaffold,question_mark_count,48,5,0.925,0.8333333333333334,1.0083333333333335
telling,uniform_scaffold,word_count,48,5,33.233333333333334,31.203854166666662,35.479166666666664
telling,uniform_scaffold,char_count,48,5,175.15416666666667,164.2915625,185.95927083333333
