model,arm,metric,probing_mean,telling_mean,probing_minus_telling,stratified_context_ci_low,stratified_context_ci_high
ALL,adaptive_router,has_question_mark,0.7000000000000001,0.6333333333333334,0.06666666666666665,-0.033333333333333326,0.17083333333333317
ALL,adaptive_router,first_sentence_has_question_mark,0.21666666666666667,0.23750000000000002,-0.020833333333333343,-0.09999999999999998,0.05833333333333335
ALL,generic,has_question_mark,0.28750000000000003,0.30833333333333335,-0.020833333333333315,-0.1375,0.10000000000000003
ALL,generic,first_sentence_has_question_mark,0.025000000000000005,0.049999999999999996,-0.02499999999999999,-0.05833333333333335,0.008333333333333331
ALL,oracle_action,has_question_mark,1.0,0.0,1.0,1.0,1.0
ALL,oracle_action,first_sentence_has_question_mark,0.9666666666666667,0.0,0.9666666666666667,0.9249999999999999,0.9958333333333332
ALL,uniform_scaffold,has_question_mark,0.9625,0.8541666666666666,0.10833333333333339,0.03333333333333344,0.1875
ALL,uniform_scaffold,first_sentence_has_question_mark,0.2708333333333333,0.28750000000000003,-0.01666666666666672,-0.10833333333333331,0.07499999999999996
MiniMax-M2.7,adaptive_router,has_question_mark,0.7916666666666666,0.6666666666666666,0.125,-0.04166666666666674,0.29166666666666674
MiniMax-M2.7,adaptive_router,first_sentence_has_question_mark,0.2708333333333333,0.1875,0.08333333333333331,-0.08333333333333334,0.25
MiniMax-M2.7,generic,has_question_mark,0.3958333333333333,0.375,0.020833333333333315,-0.16666666666666669,0.20833333333333337
MiniMax-M2.7,generic,first_sentence_has_question_mark,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0625
MiniMax-M2.7,oracle_action,has_question_mark,1.0,0.0,1.0,1.0,1.0
MiniMax-M2.7,oracle_action,first_sentence_has_question_mark,1.0,0.0,1.0,1.0,1.0
MiniMax-M2.7,uniform_scaffold,has_question_mark,0.9583333333333334,0.8333333333333334,0.125,0.0,0.25
MiniMax-M2.7,uniform_scaffold,first_sentence_has_question_mark,0.0,0.0,0.0,0.0,0.0
MiniMax-M3,adaptive_router,has_question_mark,0.5833333333333334,0.3541666666666667,0.22916666666666669,0.04166666666666663,0.4166666666666667
MiniMax-M3,adaptive_router,first_sentence_has_question_mark,0.10416666666666667,0.08333333333333333,0.020833333333333343,-0.10416666666666666,0.14583333333333331
MiniMax-M3,generic,has_question_mark,0.2916666666666667,0.3333333333333333,-0.04166666666666663,-0.22916666666666666,0.14583333333333334
MiniMax-M3,generic,first_sentence_has_question_mark,0.0,0.020833333333333332,-0.020833333333333332,-0.0625,0.0
MiniMax-M3,oracle_action,has_question_mark,1.0,0.0,1.0,1.0,1.0
MiniMax-M3,oracle_action,first_sentence_has_question_mark,0.9375,0.0,0.9375,0.8541666666666666,1.0
MiniMax-M3,uniform_scaffold,has_question_mark,0.9791666666666666,0.8125,0.16666666666666663,0.04166666666666674,0.29166666666666663
MiniMax-M3,uniform_scaffold,first_sentence_has_question_mark,0.125,0.16666666666666666,-0.04166666666666666,-0.1875,0.08385416666666858
deepseek-v4-pro,adaptive_router,has_question_mark,0.5625,0.6666666666666666,-0.10416666666666663,-0.2916666666666667,0.08333333333333337
deepseek-v4-pro,adaptive_router,first_sentence_has_question_mark,0.10416666666666667,0.1875,-0.08333333333333333,-0.22916666666666666,0.0625
deepseek-v4-pro,generic,has_question_mark,0.3125,0.16666666666666666,0.14583333333333334,-0.020833333333333343,0.3125
deepseek-v4-pro,generic,first_sentence_has_question_mark,0.041666666666666664,0.041666666666666664,0.0,-0.08333333333333333,0.08333333333333333
deepseek-v4-pro,oracle_action,has_question_mark,1.0,0.0,1.0,1.0,1.0
deepseek-v4-pro,oracle_action,first_sentence_has_question_mark,0.9375,0.0,0.9375,0.8541666666666666,1.0
deepseek-v4-pro,uniform_scaffold,has_question_mark,0.8958333333333334,0.8333333333333334,0.0625,-0.0625,0.1875
deepseek-v4-pro,uniform_scaffold,first_sentence_has_question_mark,0.3125,0.375,-0.0625,-0.25,0.125
doubao-seed-2.0-lite,adaptive_router,has_question_mark,0.8958333333333334,0.8541666666666666,0.04166666666666674,-0.08333333333333337,0.16666666666666674
doubao-seed-2.0-lite,adaptive_router,first_sentence_has_question_mark,0.16666666666666666,0.375,-0.20833333333333334,-0.375,-0.02083333333333337
doubao-seed-2.0-lite,generic,has_question_mark,0.08333333333333333,0.22916666666666666,-0.14583333333333331,-0.2916666666666667,0.0
doubao-seed-2.0-lite,generic,first_sentence_has_question_mark,0.0,0.0,0.0,0.0,0.0
doubao-seed-2.0-lite,oracle_action,has_question_mark,1.0,0.0,1.0,1.0,1.0
doubao-seed-2.0-lite,oracle_action,first_sentence_has_question_mark,0.9791666666666666,0.0,0.9791666666666666,0.9375,1.0
doubao-seed-2.0-lite,uniform_scaffold,has_question_mark,0.9791666666666666,0.9583333333333334,0.02083333333333326,-0.04166666666666663,0.08333333333333337
doubao-seed-2.0-lite,uniform_scaffold,first_sentence_has_question_mark,0.5,0.4791666666666667,0.020833333333333315,-0.16666666666666669,0.22916666666666663
glm-5.2,adaptive_router,has_question_mark,0.6666666666666666,0.625,0.04166666666666663,-0.14583333333333337,0.22916666666666674
glm-5.2,adaptive_router,first_sentence_has_question_mark,0.4375,0.3541666666666667,0.08333333333333331,-0.10468749999999984,0.27083333333333337
glm-5.2,generic,has_question_mark,0.3541666666666667,0.4375,-0.08333333333333331,-0.27083333333333337,0.10416666666666669
glm-5.2,generic,first_sentence_has_question_mark,0.0625,0.1875,-0.125,-0.25,0.0
glm-5.2,oracle_action,has_question_mark,1.0,0.0,1.0,1.0,1.0
glm-5.2,oracle_action,first_sentence_has_question_mark,0.9791666666666666,0.0,0.9791666666666666,0.9375,1.0
glm-5.2,uniform_scaffold,has_question_mark,1.0,0.8333333333333334,0.16666666666666663,0.0625,0.27083333333333337
glm-5.2,uniform_scaffold,first_sentence_has_question_mark,0.4166666666666667,0.4166666666666667,0.0,-0.20833333333333331,0.18750000000000006
