repeat,task,null_mse,global_model_mse,task_model_mse,train_test_source_overlap,dimension,score_panel,source_policy,relative_mse_reduction
0,longtutor,0.701388888888889,0.5230676620747925,0.4454596966518217,0,affective_warmth,consensus,exclude,0.14837079607470316
0,mathdial_hard,0.9283854166666667,0.6536460722100772,0.6479594946714464,0,affective_warmth,consensus,exclude,0.008699780784123146
0,mathdial_standard,0.859848484848485,0.6046724905151861,0.6042158742303368,0,affective_warmth,consensus,exclude,0.0007551464503705585
0,ALL_EQUAL_TASK_WEIGHT,0.8298742634680135,0.5937954082666853,0.5658783551845351,0,affective_warmth,consensus,exclude,0.047014599125381085
1,longtutor,0.7013888888888888,0.5386205899956691,0.4925882567041385,0,affective_warmth,consensus,exclude,0.08546337467697007
1,mathdial_hard,0.9283854166666666,0.6786901634703053,0.6759786207584502,0,affective_warmth,consensus,exclude,0.003995258599285401
1,mathdial_standard,0.8598484848484851,0.6082807496567151,0.6036467951618835,0,affective_warmth,consensus,exclude,0.007618117945449976
1,ALL_EQUAL_TASK_WEIGHT,0.8298742634680135,0.6085305010408965,0.590737890874824,0,affective_warmth,consensus,exclude,0.029238649723617893
2,longtutor,0.701388888888889,0.5258450609792686,0.4587244269822426,0,affective_warmth,consensus,exclude,0.12764336679711108
2,mathdial_hard,0.928385416666667,0.7264596589980851,0.9406237604900012,0,affective_warmth,consensus,exclude,-0.29480522261523223
2,mathdial_standard,0.859848484848485,0.6110446633730651,0.5786091410255227,0,affective_warmth,consensus,exclude,0.05308208105196932
2,ALL_EQUAL_TASK_WEIGHT,0.8298742634680135,0.6211164611168063,0.6593191094992555,0,affective_warmth,consensus,exclude,-0.0615064175142912
3,longtutor,0.701388888888889,0.5229636249593608,0.46859439220440413,0,affective_warmth,consensus,exclude,0.10396369873560829
3,mathdial_hard,0.9283854166666666,0.6622158375527735,0.6749587875645701,0,affective_warmth,consensus,exclude,-0.019242895275486394
3,mathdial_standard,0.8598484848484851,0.6025599931919065,0.5839147334977515,0,affective_warmth,consensus,exclude,0.030943407967373493
3,ALL_EQUAL_TASK_WEIGHT,0.8298742634680135,0.5959131519013469,0.5758226377555752,0,affective_warmth,consensus,exclude,0.033713829073364066
4,longtutor,0.701388888888889,0.5260681104449123,0.4589120060353046,0,affective_warmth,consensus,exclude,0.12765667235144074
4,mathdial_hard,0.9283854166666667,0.6643005228259344,0.6700977280966247,0,affective_warmth,consensus,exclude,-0.008726781135184103
4,mathdial_standard,0.8598484848484851,0.6019332969761506,0.6121870813228839,0,affective_warmth,consensus,exclude,-0.017034751854140273
4,ALL_EQUAL_TASK_WEIGHT,0.8298742634680135,0.5974339767489991,0.5803989384849378,0,affective_warmth,consensus,exclude,0.028513675028593588
5,longtutor,0.701388888888889,0.5298519787517526,0.4670013587183641,0,affective_warmth,consensus,exclude,0.11861920414349414
5,mathdial_hard,0.9283854166666669,0.6579552725639263,0.6436989320834073,0,affective_warmth,consensus,exclude,0.021667643797373515
5,mathdial_standard,0.8598484848484851,0.5933449766524199,0.5890699439559253,0,affective_warmth,consensus,exclude,0.007204969898985003
5,ALL_EQUAL_TASK_WEIGHT,0.8298742634680135,0.5937174093226996,0.5665900782525656,0,affective_warmth,consensus,exclude,0.045690644478625364
6,longtutor,0.701388888888889,0.5314284536593916,0.4999131944444445,0,affective_warmth,consensus,exclude,0.05930292026694195
6,mathdial_hard,0.9283854166666667,0.6619360152048493,0.6723649959276405,0,affective_warmth,consensus,exclude,-0.015755270121635245
6,mathdial_standard,0.859848484848485,0.6160734187860742,0.6293323413055307,0,affective_warmth,consensus,exclude,-0.02152165978136522
6,ALL_EQUAL_TASK_WEIGHT,0.8298742634680135,0.6031459625501051,0.6005368438925386,0,affective_warmth,consensus,exclude,0.004325849495095957
7,longtutor,0.7013888888888888,0.5231125680308171,0.4718634252716168,0,affective_warmth,consensus,exclude,0.09796962621662941
7,mathdial_hard,0.9283854166666669,0.6693073806114003,0.7080595771124355,0,affective_warmth,consensus,exclude,-0.057898952893117306
7,mathdial_standard,0.8598484848484851,0.6048420256877676,0.5951990121645345,0,affective_warmth,consensus,exclude,0.015943028284563954
7,ALL_EQUAL_TASK_WEIGHT,0.8298742634680135,0.5990873247766616,0.5917073381828623,0,affective_warmth,consensus,exclude,0.012318715967744032
8,longtutor,0.701388888888889,0.5223723050550773,0.44527109859025166,0,affective_warmth,consensus,exclude,0.14759818948804393
8,mathdial_hard,0.9283854166666666,0.6878694357740969,0.7273517911529477,0,affective_warmth,consensus,exclude,-0.05739803707722402
8,mathdial_standard,0.8598484848484851,0.6056934649153597,0.5724988786084069,0,affective_warmth,consensus,exclude,0.05480426689363649
8,ALL_EQUAL_TASK_WEIGHT,0.8298742634680135,0.6053117352481779,0.5817072561172021,0,affective_warmth,consensus,exclude,0.03899557493511674
9,longtutor,0.7013888888888891,0.5327871524675368,0.45719186817671675,0,affective_warmth,consensus,exclude,0.14188646242821357
9,mathdial_hard,0.9283854166666667,0.6811431317206978,0.7471826040465207,0,affective_warmth,consensus,exclude,-0.09695388421372542
9,mathdial_standard,0.859848484848485,0.5959849932226522,0.5885020104902107,0,affective_warmth,consensus,exclude,0.012555656295939577
9,ALL_EQUAL_TASK_WEIGHT,0.8298742634680135,0.6033050924702956,0.597625494237816,0,affective_warmth,consensus,exclude,0.009414139385470754
10,longtutor,0.701388888888889,0.5277923112817783,0.465837108964198,0,affective_warmth,consensus,exclude,0.11738557192528631
10,mathdial_hard,0.9283854166666667,0.6869169103211313,0.8313796144844913,0,affective_warmth,consensus,exclude,-0.21030593655908714
10,mathdial_standard,0.8598484848484849,0.5935605660788918,0.5979697380457114,0,affective_warmth,consensus,exclude,-0.007428343826725081
10,ALL_EQUAL_TASK_WEIGHT,0.8298742634680135,0.6027565958939338,0.6317288204981336,0,affective_warmth,consensus,exclude,-0.048066209149037586
11,longtutor,0.7013888888888888,0.5210190066522973,0.4606523182782912,0,affective_warmth,consensus,exclude,0.11586273744959918
11,mathdial_hard,0.9283854166666667,0.6673881172246392,0.6938009379822531,0,affective_warmth,consensus,exclude,-0.03957640250991079
11,mathdial_standard,0.8598484848484849,0.6003526847996189,0.597537199824316,0,affective_warmth,consensus,exclude,0.004689718304903834
