blind_id,event,present,unanimous,template,progress,affect,repeat,model,source_family,partition,panel,arm,lower,upper
01e7a6ef07903ca67941,affect_acknowledgement,0,0,radioactive_half_life,not_started,unstated,0,MiniMax-M3,half_life,confirmation,opportunity_missing,canonical,0,0
357b6fe64cd5463b893f,affect_acknowledgement,0,1,metaphor_identification,correct_partial,calm,1,glm-5.3,figurative_metaphor,confirmation,main,neutral_b,0,0
37540fcbc506f35f7359,affect_acknowledgement,0,1,triangle_area,not_started,unstated,0,glm-5.3,triangle_area,confirmation,opportunity_missing,canonical,0,0
41cf7dbe7593311e1eaf,affect_acknowledgement,0,1,gas_volume,not_started,unstated,0,doubao-seed-2.0-lite,boyles_law,confirmation,opportunity_missing,canonical,0,0
7edbfd1d7922420efb01,affect_acknowledgement,1,1,trophic_transfer,wrong_attempt,frustrated,1,MiniMax-M3,trophic_energy_transfer,confirmation,main,canonical,1,1
fddc15713d9544eb2fd0,affect_acknowledgement,0,1,binary_search_update,correct_partial,calm,1,MiniMax-M3,binary_search_interval,confirmation,main,canonical,0,0
01e7a6ef07903ca67941,answer_reveal,1,0,radioactive_half_life,not_started,unstated,0,MiniMax-M3,half_life,confirmation,opportunity_missing,canonical,0,1
357b6fe64cd5463b893f,answer_reveal,0,0,metaphor_identification,correct_partial,calm,1,glm-5.3,figurative_metaphor,confirmation,main,neutral_b,0,1
37540fcbc506f35f7359,answer_reveal,1,1,triangle_area,not_started,unstated,0,glm-5.3,triangle_area,confirmation,opportunity_missing,canonical,1,1
41cf7dbe7593311e1eaf,answer_reveal,1,1,gas_volume,not_started,unstated,0,doubao-seed-2.0-lite,boyles_law,confirmation,opportunity_missing,canonical,1,1
7edbfd1d7922420efb01,answer_reveal,1,1,trophic_transfer,wrong_attempt,frustrated,1,MiniMax-M3,trophic_energy_transfer,confirmation,main,canonical,1,1
fddc15713d9544eb2fd0,answer_reveal,1,1,binary_search_update,correct_partial,calm,1,MiniMax-M3,binary_search_interval,confirmation,main,canonical,1,1
01e7a6ef07903ca67941,epistemic_qualification,0,1,radioactive_half_life,not_started,unstated,0,MiniMax-M3,half_life,confirmation,opportunity_missing,canonical,0,0
357b6fe64cd5463b893f,epistemic_qualification,0,1,metaphor_identification,correct_partial,calm,1,glm-5.3,figurative_metaphor,confirmation,main,neutral_b,0,0
37540fcbc506f35f7359,epistemic_qualification,1,1,triangle_area,not_started,unstated,0,glm-5.3,triangle_area,confirmation,opportunity_missing,canonical,1,1
41cf7dbe7593311e1eaf,epistemic_qualification,1,1,gas_volume,not_started,unstated,0,doubao-seed-2.0-lite,boyles_law,confirmation,opportunity_missing,canonical,1,1
7edbfd1d7922420efb01,epistemic_qualification,0,0,trophic_transfer,wrong_attempt,frustrated,1,MiniMax-M3,trophic_energy_transfer,confirmation,main,canonical,0,1
fddc15713d9544eb2fd0,epistemic_qualification,1,0,binary_search_update,correct_partial,calm,1,MiniMax-M3,binary_search_interval,confirmation,main,canonical,0,1
01e7a6ef07903ca67941,information_request,0,0,radioactive_half_life,not_started,unstated,0,MiniMax-M3,half_life,confirmation,opportunity_missing,canonical,0,1
357b6fe64cd5463b893f,information_request,0,1,metaphor_identification,correct_partial,calm,1,glm-5.3,figurative_metaphor,confirmation,main,neutral_b,0,0
