blind_id,judge_requested,judge_returned,event,present,model_requested,template,progress,affect,repeat,source_family,partition,panel,arm
0b2a30d705a3378cbfe9,glm-5.3,glm-5.3,answer_reveal,1,MiniMax-M2.7,net_force,wrong_attempt,frustrated,0,newtons_second_law,training,main,canonical
0b2a30d705a3378cbfe9,glm-5.3,glm-5.3,worked_explanation,1,MiniMax-M2.7,net_force,wrong_attempt,frustrated,0,newtons_second_law,training,main,canonical
0b2a30d705a3378cbfe9,glm-5.3,glm-5.3,reasoning_elicitation,1,MiniMax-M2.7,net_force,wrong_attempt,frustrated,0,newtons_second_law,training,main,canonical
0b2a30d705a3378cbfe9,glm-5.3,glm-5.3,learner_choice,1,MiniMax-M2.7,net_force,wrong_attempt,frustrated,0,newtons_second_law,training,main,canonical
0b2a30d705a3378cbfe9,glm-5.3,glm-5.3,affect_acknowledgement,1,MiniMax-M2.7,net_force,wrong_attempt,frustrated,0,newtons_second_law,training,main,canonical
0b2a30d705a3378cbfe9,glm-5.3,glm-5.3,epistemic_qualification,0,MiniMax-M2.7,net_force,wrong_attempt,frustrated,0,newtons_second_law,training,main,canonical
0b2a30d705a3378cbfe9,glm-5.3,glm-5.3,information_request,0,MiniMax-M2.7,net_force,wrong_attempt,frustrated,0,newtons_second_law,training,main,canonical
0b2a30d705a3378cbfe9,glm-5.3,glm-5.3,unsupported_ability_claim,1,MiniMax-M2.7,net_force,wrong_attempt,frustrated,0,newtons_second_law,training,main,canonical
c8a2a0a3b9c8ee6885cc,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,1,doubao-seed-2.0-lite,food_chain,wrong_attempt,frustrated,0,food_web_relations,training,main,canonical
c8a2a0a3b9c8ee6885cc,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,1,doubao-seed-2.0-lite,food_chain,wrong_attempt,frustrated,0,food_web_relations,training,main,canonical
c8a2a0a3b9c8ee6885cc,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,0,doubao-seed-2.0-lite,food_chain,wrong_attempt,frustrated,0,food_web_relations,training,main,canonical
c8a2a0a3b9c8ee6885cc,deepseek-v4-pro,deepseek-v4-pro,learner_choice,0,doubao-seed-2.0-lite,food_chain,wrong_attempt,frustrated,0,food_web_relations,training,main,canonical
c8a2a0a3b9c8ee6885cc,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,1,doubao-seed-2.0-lite,food_chain,wrong_attempt,frustrated,0,food_web_relations,training,main,canonical
c8a2a0a3b9c8ee6885cc,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,1,doubao-seed-2.0-lite,food_chain,wrong_attempt,frustrated,0,food_web_relations,training,main,canonical
c8a2a0a3b9c8ee6885cc,deepseek-v4-pro,deepseek-v4-pro,information_request,0,doubao-seed-2.0-lite,food_chain,wrong_attempt,frustrated,0,food_web_relations,training,main,canonical
c8a2a0a3b9c8ee6885cc,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,0,doubao-seed-2.0-lite,food_chain,wrong_attempt,frustrated,0,food_web_relations,training,main,canonical
