blind_id,judge_requested,judge_returned,event,present,model_requested,template,progress,affect,repeat,source_family,partition,panel,arm
357b6fe64cd5463b893f,glm-5.3,glm-5.3,answer_reveal,0,glm-5.3,metaphor_identification,correct_partial,calm,1,figurative_metaphor,confirmation,main,neutral_b
357b6fe64cd5463b893f,glm-5.3,glm-5.3,worked_explanation,1,glm-5.3,metaphor_identification,correct_partial,calm,1,figurative_metaphor,confirmation,main,neutral_b
357b6fe64cd5463b893f,glm-5.3,glm-5.3,reasoning_elicitation,1,glm-5.3,metaphor_identification,correct_partial,calm,1,figurative_metaphor,confirmation,main,neutral_b
357b6fe64cd5463b893f,glm-5.3,glm-5.3,learner_choice,0,glm-5.3,metaphor_identification,correct_partial,calm,1,figurative_metaphor,confirmation,main,neutral_b
357b6fe64cd5463b893f,glm-5.3,glm-5.3,affect_acknowledgement,0,glm-5.3,metaphor_identification,correct_partial,calm,1,figurative_metaphor,confirmation,main,neutral_b
357b6fe64cd5463b893f,glm-5.3,glm-5.3,epistemic_qualification,0,glm-5.3,metaphor_identification,correct_partial,calm,1,figurative_metaphor,confirmation,main,neutral_b
357b6fe64cd5463b893f,glm-5.3,glm-5.3,information_request,0,glm-5.3,metaphor_identification,correct_partial,calm,1,figurative_metaphor,confirmation,main,neutral_b
357b6fe64cd5463b893f,glm-5.3,glm-5.3,unsupported_ability_claim,0,glm-5.3,metaphor_identification,correct_partial,calm,1,figurative_metaphor,confirmation,main,neutral_b
01e7a6ef07903ca67941,glm-5.3,glm-5.3,answer_reveal,1,MiniMax-M3,radioactive_half_life,not_started,unstated,0,half_life,confirmation,opportunity_missing,canonical
01e7a6ef07903ca67941,glm-5.3,glm-5.3,worked_explanation,1,MiniMax-M3,radioactive_half_life,not_started,unstated,0,half_life,confirmation,opportunity_missing,canonical
01e7a6ef07903ca67941,glm-5.3,glm-5.3,reasoning_elicitation,1,MiniMax-M3,radioactive_half_life,not_started,unstated,0,half_life,confirmation,opportunity_missing,canonical
