blind_id,judge_requested,judge_returned,event,present,anchor,expected
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,1,bare_answer,1
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,0,bare_answer,0
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,0,bare_answer,0
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,learner_choice,0,bare_answer,0
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,0,bare_answer,0
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,0,bare_answer,0
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,information_request,0,bare_answer,0
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,0,bare_answer,0
a8aacd19e079ded840e8,glm-5.2,glm-5.3,answer_reveal,1,worked_answer,1
a8aacd19e079ded840e8,glm-5.2,glm-5.3,worked_explanation,1,worked_answer,1
a8aacd19e079ded840e8,glm-5.2,glm-5.3,reasoning_elicitation,0,worked_answer,0
a8aacd19e079ded840e8,glm-5.2,glm-5.3,learner_choice,0,worked_answer,0
a8aacd19e079ded840e8,glm-5.2,glm-5.3,affect_acknowledgement,0,worked_answer,0
a8aacd19e079ded840e8,glm-5.2,glm-5.3,epistemic_qualification,0,worked_answer,0
a8aacd19e079ded840e8,glm-5.2,glm-5.3,information_request,0,worked_answer,0
a8aacd19e079ded840e8,glm-5.2,glm-5.3,unsupported_ability_claim,0,worked_answer,0
f9a3ab4a6ebfcf8d4c59,glm-5.2,glm-5.3,answer_reveal,1,bare_answer,1
f9a3ab4a6ebfcf8d4c59,glm-5.2,glm-5.3,worked_explanation,0,bare_answer,0
f9a3ab4a6ebfcf8d4c59,glm-5.2,glm-5.3,reasoning_elicitation,0,bare_answer,0
f9a3ab4a6ebfcf8d4c59,glm-5.2,glm-5.3,learner_choice,0,bare_answer,0
f9a3ab4a6ebfcf8d4c59,glm-5.2,glm-5.3,affect_acknowledgement,0,bare_answer,0
f9a3ab4a6ebfcf8d4c59,glm-5.2,glm-5.3,epistemic_qualification,0,bare_answer,0
f9a3ab4a6ebfcf8d4c59,glm-5.2,glm-5.3,information_request,0,bare_answer,0
f9a3ab4a6ebfcf8d4c59,glm-5.2,glm-5.3,unsupported_ability_claim,0,bare_answer,0
b7d2a6ff11e475aebddb,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,0,missing_fact,0
b7d2a6ff11e475aebddb,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,0,missing_fact,0
b7d2a6ff11e475aebddb,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,0,missing_fact,0
b7d2a6ff11e475aebddb,deepseek-v4-pro,deepseek-v4-pro,learner_choice,0,missing_fact,0
b7d2a6ff11e475aebddb,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,0,missing_fact,0
b7d2a6ff11e475aebddb,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,0,missing_fact,0
b7d2a6ff11e475aebddb,deepseek-v4-pro,deepseek-v4-pro,information_request,1,missing_fact,1
b7d2a6ff11e475aebddb,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,0,missing_fact,0
123ab30e850aec171348,glm-5.2,glm-5.3,answer_reveal,0,ability_attribution,0
123ab30e850aec171348,glm-5.2,glm-5.3,worked_explanation,0,ability_attribution,0
123ab30e850aec171348,glm-5.2,glm-5.3,reasoning_elicitation,0,ability_attribution,0
123ab30e850aec171348,glm-5.2,glm-5.3,learner_choice,0,ability_attribution,0
123ab30e850aec171348,glm-5.2,glm-5.3,affect_acknowledgement,0,ability_attribution,0
123ab30e850aec171348,glm-5.2,glm-5.3,epistemic_qualification,0,ability_attribution,0
123ab30e850aec171348,glm-5.2,glm-5.3,information_request,0,ability_attribution,0
