judge_requested,judge_returned,event,n,matches
MiniMax-M3,MiniMax-M3,affect_acknowledgement,16,16
MiniMax-M3,MiniMax-M3,answer_reveal,16,16
MiniMax-M3,MiniMax-M3,epistemic_qualification,16,16
MiniMax-M3,MiniMax-M3,information_request,16,16
MiniMax-M3,MiniMax-M3,learner_choice,16,16
MiniMax-M3,MiniMax-M3,reasoning_elicitation,16,15
MiniMax-M3,MiniMax-M3,unsupported_ability_claim,16,16
MiniMax-M3,MiniMax-M3,worked_explanation,16,15
deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,16,16
deepseek-v4-pro,deepseek-v4-pro,answer_reveal,16,16
deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,16,16
deepseek-v4-pro,deepseek-v4-pro,information_request,16,16
deepseek-v4-pro,deepseek-v4-pro,learner_choice,16,16
deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,16,15
deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,16,16
deepseek-v4-pro,deepseek-v4-pro,worked_explanation,16,15
glm-5.2,glm-5.3,affect_acknowledgement,16,16
glm-5.2,glm-5.3,answer_reveal,16,16
glm-5.2,glm-5.3,epistemic_qualification,16,16
glm-5.2,glm-5.3,information_request,16,16
glm-5.2,glm-5.3,learner_choice,16,16
glm-5.2,glm-5.3,reasoning_elicitation,16,15
glm-5.2,glm-5.3,unsupported_ability_claim,16,16
glm-5.2,glm-5.3,worked_explanation,16,16
