selector,target_act,model,rows,valid_rate,invalid_rate,ask_rate_all,ask_rate_among_valid,target_accuracy
selector_ask_first,probing,ALL,240,0.9708333333333333,0.029166666666666674,0.7625,0.7854077253218884,0.7625
selector_ask_first,probing,MiniMax-M2.7,48,0.8541666666666666,0.14583333333333337,0.4791666666666667,0.5609756097560976,0.4791666666666667
selector_ask_first,probing,MiniMax-M3,48,1.0,0.0,0.5208333333333334,0.5208333333333334,0.5208333333333334
selector_ask_first,probing,deepseek-v4-pro,48,1.0,0.0,0.9583333333333334,0.9583333333333334,0.9583333333333334
selector_ask_first,probing,doubao-seed-2.0-lite,48,1.0,0.0,0.9375,0.9375,0.9375
selector_ask_first,probing,glm-5.2,48,1.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666
selector_ask_first,telling,ALL,240,0.9791666666666666,0.02083333333333337,0.7041666666666667,0.7191489361702128,0.275
selector_ask_first,telling,MiniMax-M2.7,48,0.8958333333333334,0.10416666666666663,0.4583333333333333,0.5116279069767442,0.4375
selector_ask_first,telling,MiniMax-M3,48,1.0,0.0,0.375,0.375,0.625
selector_ask_first,telling,deepseek-v4-pro,48,1.0,0.0,0.9583333333333334,0.9583333333333334,0.041666666666666664
selector_ask_first,telling,doubao-seed-2.0-lite,48,1.0,0.0,0.9375,0.9375,0.0625
selector_ask_first,telling,glm-5.2,48,1.0,0.0,0.7916666666666666,0.7916666666666666,0.20833333333333334
selector_explain_first,probing,ALL,240,0.925,0.07499999999999996,0.775,0.8378378378378378,0.775
selector_explain_first,probing,MiniMax-M2.7,48,0.625,0.375,0.3333333333333333,0.5333333333333333,0.3333333333333333
selector_explain_first,probing,MiniMax-M3,48,1.0,0.0,0.6875,0.6875,0.6875
selector_explain_first,probing,deepseek-v4-pro,48,1.0,0.0,1.0,1.0,1.0
selector_explain_first,probing,doubao-seed-2.0-lite,48,1.0,0.0,0.9375,0.9375,0.9375
selector_explain_first,probing,glm-5.2,48,1.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666
selector_explain_first,telling,ALL,240,0.8958333333333334,0.10416666666666663,0.6708333333333333,0.7488372093023256,0.225
selector_explain_first,telling,MiniMax-M2.7,48,0.4791666666666667,0.5208333333333333,0.20833333333333334,0.43478260869565216,0.2708333333333333
selector_explain_first,telling,MiniMax-M3,48,1.0,0.0,0.5625,0.5625,0.4375
selector_explain_first,telling,deepseek-v4-pro,48,1.0,0.0,0.9375,0.9375,0.0625
selector_explain_first,telling,doubao-seed-2.0-lite,48,1.0,0.0,0.875,0.875,0.125
selector_explain_first,telling,glm-5.2,48,1.0,0.0,0.7708333333333334,0.7708333333333334,0.22916666666666666
