blind_id,judge_requested,judge_returned,event,present,anchor,expected,anchor_group
0e58106b3dddcb8b9b40,MiniMax-M3,MiniMax-M3,answer_reveal,1,new_single_computation,1,new_heldout_wording
0e58106b3dddcb8b9b40,MiniMax-M3,MiniMax-M3,worked_explanation,0,new_single_computation,0,new_heldout_wording
0e58106b3dddcb8b9b40,MiniMax-M3,MiniMax-M3,reasoning_elicitation,0,new_single_computation,0,new_heldout_wording
0e58106b3dddcb8b9b40,MiniMax-M3,MiniMax-M3,learner_choice,0,new_single_computation,0,new_heldout_wording
0e58106b3dddcb8b9b40,MiniMax-M3,MiniMax-M3,affect_acknowledgement,0,new_single_computation,0,new_heldout_wording
0e58106b3dddcb8b9b40,MiniMax-M3,MiniMax-M3,epistemic_qualification,0,new_single_computation,0,new_heldout_wording
0e58106b3dddcb8b9b40,MiniMax-M3,MiniMax-M3,information_request,0,new_single_computation,0,new_heldout_wording
0e58106b3dddcb8b9b40,MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0,new_single_computation,0,new_heldout_wording
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,1,bare_answer,1,revised_or_reused_development
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,0,bare_answer,0,revised_or_reused_development
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,0,bare_answer,0,revised_or_reused_development
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,learner_choice,0,bare_answer,0,revised_or_reused_development
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,0,bare_answer,0,revised_or_reused_development
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,0,bare_answer,0,revised_or_reused_development
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,information_request,0,bare_answer,0,revised_or_reused_development
f9a3ab4a6ebfcf8d4c59,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,0,bare_answer,0,revised_or_reused_development
4e746d30d45e933c1256,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,0,new_computation_request,0,new_heldout_wording
4e746d30d45e933c1256,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,0,new_computation_request,0,new_heldout_wording
4e746d30d45e933c1256,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,1,new_computation_request,1,new_heldout_wording
4e746d30d45e933c1256,deepseek-v4-pro,deepseek-v4-pro,learner_choice,0,new_computation_request,0,new_heldout_wording
4e746d30d45e933c1256,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,0,new_computation_request,0,new_heldout_wording
4e746d30d45e933c1256,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,0,new_computation_request,0,new_heldout_wording
4e746d30d45e933c1256,deepseek-v4-pro,deepseek-v4-pro,information_request,0,new_computation_request,0,new_heldout_wording
4e746d30d45e933c1256,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,0,new_computation_request,0,new_heldout_wording
307896dc53cb353d903e,MiniMax-M3,MiniMax-M3,answer_reveal,0,new_polite_only,0,new_heldout_wording
307896dc53cb353d903e,MiniMax-M3,MiniMax-M3,worked_explanation,0,new_polite_only,0,new_heldout_wording
307896dc53cb353d903e,MiniMax-M3,MiniMax-M3,reasoning_elicitation,0,new_polite_only,0,new_heldout_wording
307896dc53cb353d903e,MiniMax-M3,MiniMax-M3,learner_choice,0,new_polite_only,0,new_heldout_wording
307896dc53cb353d903e,MiniMax-M3,MiniMax-M3,affect_acknowledgement,0,new_polite_only,0,new_heldout_wording
307896dc53cb353d903e,MiniMax-M3,MiniMax-M3,epistemic_qualification,0,new_polite_only,0,new_heldout_wording
307896dc53cb353d903e,MiniMax-M3,MiniMax-M3,information_request,0,new_polite_only,0,new_heldout_wording
307896dc53cb353d903e,MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0,new_polite_only,0,new_heldout_wording
