axis,model,estimate,metric,contexts,source
instructional_agency,deepseek-v4-pro,-0.19753086419753085,exact_item_centered_default_score,108.0,confirmatory_formal
next_step_actionability,deepseek-v4-pro,0.08101851851851848,exact_item_centered_default_score,108.0,confirmatory_formal
relational_communion,deepseek-v4-pro,-0.37577160493827155,exact_item_centered_default_score,108.0,confirmatory_formal
instructional_agency,doubao-seed-2.0-pro,0.066358024691358,exact_item_centered_default_score,108.0,confirmatory_formal
next_step_actionability,doubao-seed-2.0-pro,-0.02083333333333334,exact_item_centered_default_score,108.0,confirmatory_formal
relational_communion,doubao-seed-2.0-pro,0.5131172839506173,exact_item_centered_default_score,108.0,confirmatory_formal
instructional_agency,glm-5.2,-0.757716049382716,exact_item_centered_default_score,108.0,confirmatory_formal
next_step_actionability,glm-5.2,0.6087962962962963,exact_item_centered_default_score,108.0,confirmatory_formal
relational_communion,glm-5.2,0.03626543209876541,exact_item_centered_default_score,108.0,confirmatory_formal
instructional_agency,minimax-m2.7,0.5941358024691359,exact_item_centered_default_score,108.0,confirmatory_formal
next_step_actionability,minimax-m2.7,-0.5810185185185185,exact_item_centered_default_score,108.0,confirmatory_formal
relational_communion,minimax-m2.7,-0.34336419753086417,exact_item_centered_default_score,108.0,confirmatory_formal
instructional_agency,minimax-m3,0.1589506172839506,exact_item_centered_default_score,108.0,confirmatory_formal
next_step_actionability,minimax-m3,-0.016203703703703727,exact_item_centered_default_score,108.0,confirmatory_formal
relational_communion,minimax-m3,0.01774691358024691,exact_item_centered_default_score,108.0,confirmatory_formal
instructional_agency,qwen3.5-4b,0.13580246913580243,exact_item_centered_default_score,108.0,confirmatory_formal
next_step_actionability,qwen3.5-4b,-0.07175925925925927,exact_item_centered_default_score,108.0,confirmatory_formal
relational_communion,qwen3.5-4b,0.15200617283950613,exact_item_centered_default_score,108.0,confirmatory_formal
assistance_directness,deepseek-v4-pro,-0.32352941176470584,exact_item_centered_default_score,119.0,frozen_semantic_panel
assistance_directness,doubao-seed-2.0-pro,0.07142857142857138,exact_item_centered_default_score,119.0,frozen_semantic_panel
assistance_directness,glm-5.2,-0.8445378151260504,exact_item_centered_default_score,119.0,frozen_semantic_panel
assistance_directness,minimax-m2.7,0.8025210084033614,exact_item_centered_default_score,119.0,frozen_semantic_panel
assistance_directness,minimax-m3,0.407563025210084,exact_item_centered_default_score,119.0,frozen_semantic_panel
assistance_directness,qwen3.5-4b,-0.11344537815126052,exact_item_centered_default_score,119.0,frozen_semantic_panel
epistemic_commitment,deepseek-v4-pro,0.9484148489932888,expressed_confidence,,epistemic_character_axes_v1
epistemic_commitment,doubao-seed-2.0-pro,0.9768375,expressed_confidence,,epistemic_character_axes_v1
epistemic_commitment,glm-5.2,0.9475625,expressed_confidence,,epistemic_character_axes_v1
epistemic_commitment,minimax-m2.7,0.9405926369863014,expressed_confidence,,epistemic_character_axes_v1
epistemic_commitment,minimax-m3,0.8778068877551021,expressed_confidence,,epistemic_character_axes_v1
epistemic_commitment,qwen3.5-4b,0.9559993589743592,expressed_confidence,,epistemic_character_axes_v1
