benchmark,task,arm,item_id,pair_id,model,response_sha256,judge,candidate_label,candidate_position,dimension,score,confidence,same_family
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,qwen3.5-4b,cdbda06428e5e32c7447353de5ebb960651259c02ccafa189599ae10c2c9839f,MiniMax-M3,A,1,help_directness,1,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,qwen3.5-4b,cdbda06428e5e32c7447353de5ebb960651259c02ccafa189599ae10c2c9839f,MiniMax-M3,A,1,elicitation,5,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,qwen3.5-4b,cdbda06428e5e32c7447353de5ebb960651259c02ccafa189599ae10c2c9839f,MiniMax-M3,A,1,autonomy_support,4,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,qwen3.5-4b,cdbda06428e5e32c7447353de5ebb960651259c02ccafa189599ae10c2c9839f,MiniMax-M3,A,1,affective_warmth,3,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,qwen3.5-4b,cdbda06428e5e32c7447353de5ebb960651259c02ccafa189599ae10c2c9839f,MiniMax-M3,A,1,diagnostic_specificity,1,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,qwen3.5-4b,cdbda06428e5e32c7447353de5ebb960651259c02ccafa189599ae10c2c9839f,MiniMax-M3,A,1,personalization,2,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,qwen3.5-4b,cdbda06428e5e32c7447353de5ebb960651259c02ccafa189599ae10c2c9839f,MiniMax-M3,A,1,cognitive_load,1,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,qwen3.5-4b,cdbda06428e5e32c7447353de5ebb960651259c02ccafa189599ae10c2c9839f,MiniMax-M3,A,1,epistemic_caution,1,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,doubao-seed-2.0-pro,de09499311a1b5c561eef2338b4f2f57caaa7ef7d162aed4b643f64041c92450,MiniMax-M3,B,2,help_directness,2,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,doubao-seed-2.0-pro,de09499311a1b5c561eef2338b4f2f57caaa7ef7d162aed4b643f64041c92450,MiniMax-M3,B,2,elicitation,5,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,doubao-seed-2.0-pro,de09499311a1b5c561eef2338b4f2f57caaa7ef7d162aed4b643f64041c92450,MiniMax-M3,B,2,autonomy_support,4,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,doubao-seed-2.0-pro,de09499311a1b5c561eef2338b4f2f57caaa7ef7d162aed4b643f64041c92450,MiniMax-M3,B,2,affective_warmth,3,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,doubao-seed-2.0-pro,de09499311a1b5c561eef2338b4f2f57caaa7ef7d162aed4b643f64041c92450,MiniMax-M3,B,2,diagnostic_specificity,1,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,doubao-seed-2.0-pro,de09499311a1b5c561eef2338b4f2f57caaa7ef7d162aed4b643f64041c92450,MiniMax-M3,B,2,personalization,3,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,doubao-seed-2.0-pro,de09499311a1b5c561eef2338b4f2f57caaa7ef7d162aed4b643f64041c92450,MiniMax-M3,B,2,cognitive_load,2,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,doubao-seed-2.0-pro,de09499311a1b5c561eef2338b4f2f57caaa7ef7d162aed4b643f64041c92450,MiniMax-M3,B,2,epistemic_caution,1,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,glm-5.2,6c956f6d49a037ed7dcf2c294f7701e8b812d6e192dfe64aa500413f3226f3d7,MiniMax-M3,C,3,help_directness,1,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,glm-5.2,6c956f6d49a037ed7dcf2c294f7701e8b812d6e192dfe64aa500413f3226f3d7,MiniMax-M3,C,3,elicitation,5,4,False
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pedagogy-1044,1044,glm-5.2,6c956f6d49a037ed7dcf2c294f7701e8b812d6e192dfe64aa500413f3226f3d7,MiniMax-M3,C,3,autonomy_support,5,4,False
