model,event,prevalence,judges_per_answer
MiniMax-M2.7,affect_acknowledgement,0.390625,2
MiniMax-M2.7,answer_reveal,0.984375,2
MiniMax-M2.7,epistemic_qualification,0.328125,2
MiniMax-M2.7,information_request,0.015625,2
MiniMax-M2.7,learner_choice,0.234375,2
MiniMax-M2.7,reasoning_elicitation,0.265625,2
MiniMax-M2.7,unsupported_ability_claim,0.0625,2
MiniMax-M2.7,worked_explanation,1.0,2
MiniMax-M3,affect_acknowledgement,0.875,2
MiniMax-M3,answer_reveal,0.890625,2
MiniMax-M3,epistemic_qualification,0.28125,2
MiniMax-M3,information_request,0.0,2
MiniMax-M3,learner_choice,0.265625,2
MiniMax-M3,reasoning_elicitation,0.484375,2
MiniMax-M3,unsupported_ability_claim,0.25,2
MiniMax-M3,worked_explanation,1.0,2
deepseek-v4-pro,affect_acknowledgement,0.84375,2
deepseek-v4-pro,answer_reveal,1.0,2
deepseek-v4-pro,epistemic_qualification,0.234375,2
deepseek-v4-pro,information_request,0.015625,2
deepseek-v4-pro,learner_choice,0.0625,2
deepseek-v4-pro,reasoning_elicitation,0.203125,2
deepseek-v4-pro,unsupported_ability_claim,0.046875,2
deepseek-v4-pro,worked_explanation,1.0,2
doubao-seed-2.0-lite,affect_acknowledgement,0.6979166666666666,3
doubao-seed-2.0-lite,answer_reveal,1.0,3
doubao-seed-2.0-lite,epistemic_qualification,0.21875,3
doubao-seed-2.0-lite,information_request,0.0,3
doubao-seed-2.0-lite,learner_choice,0.03125,3
doubao-seed-2.0-lite,reasoning_elicitation,0.020833333333333332,3
doubao-seed-2.0-lite,unsupported_ability_claim,0.041666666666666664,3
doubao-seed-2.0-lite,worked_explanation,1.0,3
glm-5.3,affect_acknowledgement,0.6875,2
glm-5.3,answer_reveal,0.15625,2
glm-5.3,epistemic_qualification,0.203125,2
glm-5.3,information_request,0.015625,2
glm-5.3,learner_choice,0.171875,2
glm-5.3,reasoning_elicitation,1.0,2
glm-5.3,unsupported_ability_claim,0.03125,2
glm-5.3,worked_explanation,0.71875,2
