blind_id,judge_requested,judge_returned,event,present,model_requested,template,progress,affect,repeat,source_family,partition,panel,arm
fc820c11fa1c663621ba,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,1,deepseek-v4-pro,photosynthesis_inputs,correct_partial,frustrated,0,photosynthesis_inputs,confirmation,main,neutral_a
fc820c11fa1c663621ba,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,0,deepseek-v4-pro,photosynthesis_inputs,correct_partial,frustrated,0,photosynthesis_inputs,confirmation,main,neutral_a
fc820c11fa1c663621ba,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,0,deepseek-v4-pro,photosynthesis_inputs,correct_partial,frustrated,0,photosynthesis_inputs,confirmation,main,neutral_a
fc820c11fa1c663621ba,deepseek-v4-pro,deepseek-v4-pro,learner_choice,0,deepseek-v4-pro,photosynthesis_inputs,correct_partial,frustrated,0,photosynthesis_inputs,confirmation,main,neutral_a
fc820c11fa1c663621ba,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,0,deepseek-v4-pro,photosynthesis_inputs,correct_partial,frustrated,0,photosynthesis_inputs,confirmation,main,neutral_a
fc820c11fa1c663621ba,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,0,deepseek-v4-pro,photosynthesis_inputs,correct_partial,frustrated,0,photosynthesis_inputs,confirmation,main,neutral_a
fc820c11fa1c663621ba,deepseek-v4-pro,deepseek-v4-pro,information_request,0,deepseek-v4-pro,photosynthesis_inputs,correct_partial,frustrated,0,photosynthesis_inputs,confirmation,main,neutral_a
fc820c11fa1c663621ba,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,1,deepseek-v4-pro,photosynthesis_inputs,correct_partial,frustrated,0,photosynthesis_inputs,confirmation,main,neutral_a
14e1ef957c0f6daac21e,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,1,deepseek-v4-pro,metaphor_identification,wrong_attempt,frustrated,1,figurative_metaphor,confirmation,main,neutral_a
14e1ef957c0f6daac21e,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,1,deepseek-v4-pro,metaphor_identification,wrong_attempt,frustrated,1,figurative_metaphor,confirmation,main,neutral_a
14e1ef957c0f6daac21e,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,0,deepseek-v4-pro,metaphor_identification,wrong_attempt,frustrated,1,figurative_metaphor,confirmation,main,neutral_a
14e1ef957c0f6daac21e,deepseek-v4-pro,deepseek-v4-pro,learner_choice,0,deepseek-v4-pro,metaphor_identification,wrong_attempt,frustrated,1,figurative_metaphor,confirmation,main,neutral_a
14e1ef957c0f6daac21e,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,1,deepseek-v4-pro,metaphor_identification,wrong_attempt,frustrated,1,figurative_metaphor,confirmation,main,neutral_a
14e1ef957c0f6daac21e,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,0,deepseek-v4-pro,metaphor_identification,wrong_attempt,frustrated,1,figurative_metaphor,confirmation,main,neutral_a
14e1ef957c0f6daac21e,deepseek-v4-pro,deepseek-v4-pro,information_request,0,deepseek-v4-pro,metaphor_identification,wrong_attempt,frustrated,1,figurative_metaphor,confirmation,main,neutral_a
14e1ef957c0f6daac21e,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,1,deepseek-v4-pro,metaphor_identification,wrong_attempt,frustrated,1,figurative_metaphor,confirmation,main,neutral_a
e2228c138ed945a05240,glm-5.3,glm-5.3,answer_reveal,0,glm-5.3,balance_water_equation,correct_partial,calm,0,chemical_equation_balance,confirmation,main,canonical
e2228c138ed945a05240,glm-5.3,glm-5.3,worked_explanation,1,glm-5.3,balance_water_equation,correct_partial,calm,0,chemical_equation_balance,confirmation,main,canonical
e2228c138ed945a05240,glm-5.3,glm-5.3,reasoning_elicitation,1,glm-5.3,balance_water_equation,correct_partial,calm,0,chemical_equation_balance,confirmation,main,canonical
e2228c138ed945a05240,glm-5.3,glm-5.3,learner_choice,0,glm-5.3,balance_water_equation,correct_partial,calm,0,chemical_equation_balance,confirmation,main,canonical
e2228c138ed945a05240,glm-5.3,glm-5.3,affect_acknowledgement,0,glm-5.3,balance_water_equation,correct_partial,calm,0,chemical_equation_balance,confirmation,main,canonical
e2228c138ed945a05240,glm-5.3,glm-5.3,epistemic_qualification,0,glm-5.3,balance_water_equation,correct_partial,calm,0,chemical_equation_balance,confirmation,main,canonical
e2228c138ed945a05240,glm-5.3,glm-5.3,information_request,0,glm-5.3,balance_water_equation,correct_partial,calm,0,chemical_equation_balance,confirmation,main,canonical
