event,judge_a,judge_b,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M3,deepseek-v4-pro,4034,0.9826474962816063,0.9814814814814815,0.9836753731343284
affect_acknowledgement,MiniMax-M3,glm-5.3,4034,0.9652949925632127,0.9642309657639244,0.9662975445353876
affect_acknowledgement,deepseek-v4-pro,glm-5.3,4034,0.9643034209221616,0.9631147540983607,0.9654178674351584
answer_reveal,MiniMax-M3,deepseek-v4-pro,4034,0.9868616757560734,0.9908352066401521,0.9768052516411379
answer_reveal,MiniMax-M3,glm-5.3,4034,0.9903321764997521,0.9932373851222472,0.9830508474576272
answer_reveal,deepseek-v4-pro,glm-5.3,4034,0.9890927119484383,0.9924216327936617,0.9805481874447391
epistemic_qualification,MiniMax-M3,deepseek-v4-pro,4034,0.875805651958354,0.3941958887545345,0.930810661510841
epistemic_qualification,MiniMax-M3,glm-5.3,4034,0.9529003470500743,0.610655737704918,0.974934036939314
epistemic_qualification,deepseek-v4-pro,glm-5.3,4034,0.9010907288051562,0.5882352941176471,0.9437949006902381
information_request,MiniMax-M3,deepseek-v4-pro,4034,0.9945463559742191,0.7659574468085106,0.9972410333584149
information_request,MiniMax-M3,glm-5.3,4034,0.9980168567178979,0.8974358974358975,0.9989987484355445
information_request,deepseek-v4-pro,glm-5.3,4034,0.9950421417947447,0.7727272727272727,0.9974937343358395
learner_choice,MiniMax-M3,deepseek-v4-pro,4034,0.9494298463063956,0.8194690265486726,0.9705967137503604
learner_choice,MiniMax-M3,glm-5.3,4034,0.9328210213187903,0.6777645659928656,0.9625017296250173
learner_choice,deepseek-v4-pro,glm-5.3,4034,0.9248884481903817,0.6827225130890052,0.9574019401096584
reasoning_elicitation,MiniMax-M3,deepseek-v4-pro,4034,0.9377788795240456,0.925096985974336,0.9467882128471486
reasoning_elicitation,MiniMax-M3,glm-5.3,4034,0.9258800198314329,0.9144981412639405,0.934587617589149
reasoning_elicitation,deepseek-v4-pro,glm-5.3,4034,0.9335647000495786,0.9251396648044693,0.9402852049910874
unsupported_ability_claim,MiniMax-M3,deepseek-v4-pro,4034,0.9058006941001487,0.40625,0.9488422186322025
unsupported_ability_claim,MiniMax-M3,glm-5.3,4034,0.9236489836390679,0.2631578947368421,0.9597385620915033
unsupported_ability_claim,deepseek-v4-pro,glm-5.3,4034,0.9410014873574616,0.36363636363636365,0.9690668053028334
worked_explanation,MiniMax-M3,deepseek-v4-pro,4034,0.9338125929598413,0.9602264263369581,0.8029520295202952
worked_explanation,MiniMax-M3,glm-5.3,4034,0.9414972731779871,0.9646812331637235,0.8297258297258298
worked_explanation,deepseek-v4-pro,glm-5.3,4034,0.9516608824987606,0.9712346953827998,0.8487199379363848
