dimension,judge_left,judge_right,targets,exact_agreement,within_one,spearman,mean_difference_left_minus_right
instructional_agency,glm-5.2,deepseek-v4-pro,180,0.7888888888888889,0.9833333333333333,0.8564281018935082,-0.16666666666666666
instructional_agency,glm-5.2,doubao-seed-2.0-lite,180,0.6277777777777778,0.9388888888888889,0.7481318372175599,0.03333333333333333
instructional_agency,glm-5.2,minimax-m2.7,180,0.7111111111111111,0.9888888888888889,0.7864381112264668,-0.05555555555555555
instructional_agency,deepseek-v4-pro,doubao-seed-2.0-lite,180,0.6777777777777778,0.9444444444444444,0.7672174385311299,0.2
instructional_agency,deepseek-v4-pro,minimax-m2.7,180,0.6944444444444444,0.9666666666666667,0.7206220407542382,0.1111111111111111
instructional_agency,doubao-seed-2.0-lite,minimax-m2.7,180,0.6166666666666667,0.9166666666666666,0.6694602809969904,-0.08888888888888889
relational_communion,glm-5.2,deepseek-v4-pro,180,0.7444444444444445,1.0,0.889586865346049,-0.14444444444444443
relational_communion,glm-5.2,doubao-seed-2.0-lite,180,0.7777777777777778,1.0,0.88125980088453,0.05555555555555555
relational_communion,glm-5.2,minimax-m2.7,180,0.6888888888888889,1.0,0.8289117837421466,0.12222222222222222
relational_communion,deepseek-v4-pro,doubao-seed-2.0-lite,180,0.7222222222222222,1.0,0.8750012661539412,0.2
relational_communion,deepseek-v4-pro,minimax-m2.7,180,0.6666666666666666,1.0,0.8547534179634425,0.26666666666666666
relational_communion,doubao-seed-2.0-lite,minimax-m2.7,180,0.7444444444444445,1.0,0.86209902294231,0.06666666666666667
next_step_actionability,glm-5.2,deepseek-v4-pro,180,0.5111111111111111,0.8222222222222222,0.627586535901826,-0.6222222222222222
next_step_actionability,glm-5.2,doubao-seed-2.0-lite,180,0.45,0.8944444444444445,0.7796471105684786,-0.4777777777777778
next_step_actionability,glm-5.2,minimax-m2.7,180,0.5333333333333333,0.95,0.6387786582397275,-0.20555555555555555
next_step_actionability,deepseek-v4-pro,doubao-seed-2.0-lite,180,0.5722222222222222,0.9166666666666666,0.5949485883331461,0.14444444444444443
next_step_actionability,deepseek-v4-pro,minimax-m2.7,180,0.4777777777777778,0.9,0.6347026566155023,0.4166666666666667
next_step_actionability,doubao-seed-2.0-lite,minimax-m2.7,180,0.49444444444444446,0.8777777777777778,0.6608049604897756,0.2722222222222222
