benchmark,task,arm,split,item_id,pair_id,model,response_sha256,judge,candidate_label,candidate_position,dimension,score,confidence
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,glm-5.2,bb9ccfb457cf82a183c21938e3b06856dafda04094e47c802bddb9a46e131745,glm-5.2,A,1,instructional_agency,3,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,glm-5.2,bb9ccfb457cf82a183c21938e3b06856dafda04094e47c802bddb9a46e131745,glm-5.2,A,1,relational_communion,2,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,glm-5.2,bb9ccfb457cf82a183c21938e3b06856dafda04094e47c802bddb9a46e131745,glm-5.2,A,1,next_step_actionability,3,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,qwen3.5-4b,18a4f6e51ae541ac04a9e6fd2b3409edaf7db052b19dc4b4569ff1fcbdaf09f8,glm-5.2,B,2,instructional_agency,4,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,qwen3.5-4b,18a4f6e51ae541ac04a9e6fd2b3409edaf7db052b19dc4b4569ff1fcbdaf09f8,glm-5.2,B,2,relational_communion,2,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,qwen3.5-4b,18a4f6e51ae541ac04a9e6fd2b3409edaf7db052b19dc4b4569ff1fcbdaf09f8,glm-5.2,B,2,next_step_actionability,4,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,doubao-seed-2.0-pro,83ba1681f7748af0fa932e9be41e6525272264629ce48b0245b6515a1e8be69e,glm-5.2,C,3,instructional_agency,3,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,doubao-seed-2.0-pro,83ba1681f7748af0fa932e9be41e6525272264629ce48b0245b6515a1e8be69e,glm-5.2,C,3,relational_communion,3,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,doubao-seed-2.0-pro,83ba1681f7748af0fa932e9be41e6525272264629ce48b0245b6515a1e8be69e,glm-5.2,C,3,next_step_actionability,3,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,deepseek-v4-pro,3b9eb091b9a75f91e1c05e56bad4300815fea01437161c1b666568e86968f543,glm-5.2,D,4,instructional_agency,4,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,deepseek-v4-pro,3b9eb091b9a75f91e1c05e56bad4300815fea01437161c1b666568e86968f543,glm-5.2,D,4,relational_communion,2,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,deepseek-v4-pro,3b9eb091b9a75f91e1c05e56bad4300815fea01437161c1b666568e86968f543,glm-5.2,D,4,next_step_actionability,3,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,minimax-m2.7,779354899e8cfc2ed8697a2a9da00fb4d6da646f699899d6e14ccb09e802e950,glm-5.2,E,5,instructional_agency,3,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,minimax-m2.7,779354899e8cfc2ed8697a2a9da00fb4d6da646f699899d6e14ccb09e802e950,glm-5.2,E,5,relational_communion,3,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-977,977,minimax-m2.7,779354899e8cfc2ed8697a2a9da00fb4d6da646f699899d6e14ccb09e802e950,glm-5.2,E,5,next_step_actionability,3,4
