event,comparison,baseline,model,sources,mean_difference,source_standard_error,test_note,bootstrap_95_low,bootstrap_95_high,t_interval_alpha,t_interval_low,t_interval_high,deleted_generator
answer_reveal,default_vs_context,context,default_profile,32,0.10314127964885039,0.01110501083532206,,0.08068443182420211,0.12325016219902293,0.05,0.08049246072783324,0.12579009856986753,MiniMax-M2.7
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.0005864909312782246,0.0004772168938470468,,-0.000295787606378834,0.001533716985777717,0.05,-0.00038679934057035475,0.001559781203126804,MiniMax-M2.7
reasoning_elicitation,default_vs_context,context,default_profile,32,0.14492640700863932,0.0049647501128520935,,0.1349909704188934,0.1541391348385982,0.05,0.13480073239547938,0.15505208162179926,MiniMax-M2.7
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,0.0001016745012861061,0.0004539345685101306,,-0.0007645586776165538,0.0010017299498212518,0.05,-0.0008241311549744569,0.0010274801575466692,MiniMax-M2.7
affect_acknowledgement,default_vs_context,context,default_profile,32,0.001747572112292358,0.0018684420198935004,,-0.0017388249753979533,0.005470639440003563,0.05,-0.0020631405110925014,0.005558284735677217,MiniMax-M2.7
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.012927873127187526,0.002793207695817571,,0.007457904640927371,0.018209068137848127,0.05,0.007231088472989661,0.01862465778138539,MiniMax-M2.7
answer_reveal,default_vs_context,context,default_profile,32,0.11544719398696089,0.01233942093759353,,0.09060366806412419,0.13778856446276735,0.05,0.09028077906399351,0.14061360890992827,MiniMax-M3
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.00037998641201818543,0.0003440677557894263,,-0.0002677459882887122,0.001059223230108892,0.05,-0.0003217444023857852,0.001081717226422156,MiniMax-M3
reasoning_elicitation,default_vs_context,context,default_profile,32,0.15652584705160844,0.00397023713410222,,0.14865857359824428,0.16388096221934484,0.05,0.14842849503122463,0.16462319907199224,MiniMax-M3
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,-0.0006842626426356809,0.0003912485311473422,,-0.0014179894423654376,0.0001153472319743476,0.05,-0.0014822192827935294,0.0001136939975221674,MiniMax-M3
affect_acknowledgement,default_vs_context,context,default_profile,32,0.0184003383421813,0.002808223553573197,,0.012986238409720059,0.023774214938401258,0.05,0.01267292864418166,0.02412774804018094,MiniMax-M3
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.012012036749427864,0.0025105825577412372,,0.00719167800632618,0.01673370102792564,0.05,0.006891669864626323,0.017132403634229403,MiniMax-M3
answer_reveal,default_vs_context,context,default_profile,32,0.10228395361711279,0.011095079388153883,,0.07975784579819535,0.12236312348809725,0.05,0.0796553900161373,0.12491251721808827,deepseek-v4-pro
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.0005258102714127421,0.0005026320602967306,,-0.0004070116265970264,0.001528631365715078,0.05,-0.0004993145741523702,0.0015509351169778545,deepseek-v4-pro
reasoning_elicitation,default_vs_context,context,default_profile,32,0.1336321522668808,0.004652274037395045,,0.12474508988965081,0.14234099559065463,0.05,0.1241437768112927,0.1431205277224689,deepseek-v4-pro
