task,dimension,models,generic_to_pedagogy_spearman,exact_two_sided_p,pairwise_rank_reversals,comparable_model_pairs,rank_reversal_fraction,generic_low_model,generic_high_model,pedagogy_low_model,pedagogy_high_model
mathdial_hard,affective_warmth,6,0.7826908981308054,0.07222222222222222,2,14,0.14285714285714285,minimax-m2.7,doubao-seed-2.0-pro,deepseek-v4-pro,doubao-seed-2.0-pro
mathdial_hard,autonomy_support,6,0.9276336570439175,0.022222222222222223,1,14,0.07142857142857142,qwen3.5-4b,glm-5.2,minimax-m3,doubao-seed-2.0-pro
mathdial_hard,cognitive_load,6,0.2608969660436018,0.5944444444444444,6,14,0.42857142857142855,glm-5.2,minimax-m3,deepseek-v4-pro,minimax-m2.7
mathdial_hard,diagnostic_specificity,6,0.6377481392176932,0.2,3,14,0.21428571428571427,minimax-m2.7,deepseek-v4-pro,minimax-m2.7,glm-5.2
mathdial_hard,elicitation,6,0.6667366910003157,0.15555555555555556,3,14,0.21428571428571427,qwen3.5-4b,glm-5.2,qwen3.5-4b,doubao-seed-2.0-pro
mathdial_hard,epistemic_caution,6,-0.15401027590842434,0.8,7,12,0.5833333333333334,doubao-seed-2.0-pro,glm-5.2,minimax-m2.7,qwen3.5-4b
mathdial_hard,help_directness,6,0.20291986247835694,0.7111111111111111,6,14,0.42857142857142855,glm-5.2,minimax-m2.7,doubao-seed-2.0-pro,qwen3.5-4b
mathdial_hard,personalization,6,0.9558823529411764,0.011111111111111112,0,13,0.0,minimax-m2.7,doubao-seed-2.0-pro,minimax-m2.7,doubao-seed-2.0-pro
mathdial_standard,affective_warmth,6,0.40583972495671394,0.4444444444444444,4,14,0.2857142857142857,minimax-m2.7,doubao-seed-2.0-pro,deepseek-v4-pro,doubao-seed-2.0-pro
mathdial_standard,autonomy_support,6,0.5797710356524484,0.23333333333333334,4,14,0.2857142857142857,minimax-m2.7,glm-5.2,qwen3.5-4b,doubao-seed-2.0-pro
mathdial_standard,cognitive_load,6,0.5294117647058824,0.2722222222222222,4,13,0.3076923076923077,glm-5.2,minimax-m2.7,doubao-seed-2.0-pro,minimax-m2.7
mathdial_standard,diagnostic_specificity,6,-0.2571428571428572,0.6583333333333333,9,15,0.6,qwen3.5-4b,deepseek-v4-pro,minimax-m2.7,qwen3.5-4b
mathdial_standard,elicitation,6,0.6,0.24166666666666667,4,15,0.26666666666666666,minimax-m2.7,glm-5.2,qwen3.5-4b,doubao-seed-2.0-pro
mathdial_standard,epistemic_caution,6,0.14494275891311212,0.7777777777777778,6,14,0.42857142857142855,doubao-seed-2.0-pro,deepseek-v4-pro,qwen3.5-4b,minimax-m3
mathdial_standard,help_directness,6,0.3714285714285715,0.49722222222222223,5,15,0.3333333333333333,glm-5.2,minimax-m2.7,doubao-seed-2.0-pro,qwen3.5-4b
mathdial_standard,personalization,6,0.3714285714285715,0.49722222222222223,5,15,0.3333333333333333,minimax-m2.7,doubao-seed-2.0-pro,minimax-m2.7,glm-5.2
