model,source,n,revision_propensity,round1_accuracy,round2_accuracy,net_revision_gain,fix_rate_given_wrong,break_rate_given_right
deepseek-v4-pro,agieval,100,0.05,0.72,0.69,-0.03,0.0,0.041666666666666664
deepseek-v4-pro,ceval,199,0.19597989949748743,0.6331658291457286,0.7185929648241206,0.08542713567839195,0.3287671232876712,0.05555555555555555
deepseek-v4-pro,mmlu_pro,147,0.02040816326530612,0.6598639455782312,0.6598639455782312,0.0,0.02,0.010309278350515464
deepseek-v4-pro,mtb_problem_solving,100,0.07,0.68,0.68,0.0,0.09375,0.04411764705882353
doubao-seed-2.0-pro,agieval,100,0.0,0.78,0.78,0.0,0.0,0.0
doubao-seed-2.0-pro,ceval,200,0.07,0.765,0.735,-0.03,0.06382978723404255,0.058823529411764705
doubao-seed-2.0-pro,mmlu_pro,150,0.006666666666666667,0.64,0.6466666666666666,0.006666666666666667,0.018518518518518517,0.0
doubao-seed-2.0-pro,mtb_problem_solving,100,0.0,0.71,0.71,0.0,0.0,0.0
glm-5.2,agieval,100,0.06,0.7,0.73,0.03,0.13333333333333333,0.014285714285714285
glm-5.2,ceval,200,0.15,0.6,0.645,0.045,0.1875,0.05
glm-5.2,mmlu_pro,150,0.10666666666666667,0.6533333333333333,0.6666666666666666,0.013333333333333334,0.1346153846153846,0.05102040816326531
glm-5.2,mtb_problem_solving,100,0.09,0.78,0.71,-0.07,0.045454545454545456,0.10256410256410256
minimax-m2.7,agieval,100,0.11,0.6,0.58,-0.02,0.075,0.08333333333333333
minimax-m2.7,ceval,200,0.115,0.56,0.575,0.015,0.13636363636363635,0.08035714285714286
minimax-m2.7,mmlu_pro,150,0.08,0.52,0.5066666666666667,-0.013333333333333334,0.027777777777777776,0.05128205128205128
minimax-m2.7,mtb_problem_solving,100,0.1,0.63,0.66,0.03,0.13513513513513514,0.031746031746031744
minimax-m3,agieval,100,0.07,0.54,0.55,0.01,0.06521739130434782,0.037037037037037035
minimax-m3,ceval,200,0.165,0.54,0.58,0.04,0.18478260869565216,0.08333333333333333
minimax-m3,mmlu_pro,150,0.006666666666666667,0.5466666666666666,0.5533333333333333,0.006666666666666667,0.014705882352941176,0.0
minimax-m3,mtb_problem_solving,100,0.03,0.65,0.64,-0.01,0.02857142857142857,0.03076923076923077
qwen3.5-4b,agieval,100,0.01,0.64,0.64,0.0,0.0,0.0
qwen3.5-4b,ceval,200,0.055,0.54,0.52,-0.02,0.021739130434782608,0.05555555555555555
qwen3.5-4b,mmlu_pro,150,0.006666666666666667,0.5533333333333333,0.5466666666666666,-0.006666666666666667,0.0,0.012048192771084338
qwen3.5-4b,mtb_problem_solving,100,0.03,0.7,0.69,-0.01,0.03333333333333333,0.02857142857142857
