blind_id,behavior_blind_id,source_group,domain,model,progress,affect,repeat,unanimous_clear_error,any_clear_error,any_uncertain,reviewers_agree
d8b32c9168afa69f00a1,543a3f2b9e3964c1cba4,least_common_multiple,mathematics,MiniMax-M3,correct_partial,calm,1,False,False,False,True
a8c16d8de389e33af3d9,2795794a33e7dca89e26,direct_speech_punctuation,language,MiniMax-M2.7,wrong_attempt,frustrated,0,False,False,False,True
8ab866f2b11e4906265b,71429cf1451363e94cc1,contrast_connective,language,glm-5.3,wrong_attempt,calm,0,False,False,False,True
adf6db9c70d4795bd9ec,bc23e3844f208c481951,signed_integer_addition,mathematics,deepseek-v4-pro,wrong_attempt,calm,1,False,False,False,True
7f9b88c6d19bc9406105,1f50aa11ad05e7b56caa,chemical_equation_balance,science,MiniMax-M2.7,correct_partial,frustrated,1,False,False,False,True
37bcda0a9ae64bad52be,237236c6ea287ad3cfe6,trophic_energy_transfer,science,MiniMax-M2.7,correct_partial,frustrated,0,False,False,False,True
c45afb15167c76f53211,4ab43525cadf4af0663a,exponent_product,mathematics,doubao-seed-2.0-lite,wrong_attempt,frustrated,0,False,False,False,True
ce5039c55e346fcc144c,22a7d02bb98a0e37b716,least_common_multiple,mathematics,doubao-seed-2.0-lite,wrong_attempt,calm,0,False,False,False,True
a9f581c8703a59e38d30,7adc61d48e5e61626374,all_different_constraint,logic_and_data,glm-5.3,wrong_attempt,frustrated,0,False,False,False,True
b2efc1462f50a23a297f,eb061bf5c97e7a1101ec,rectangular_prism_volume,mathematics,glm-5.3,correct_partial,frustrated,0,False,False,False,True
d75aa5757bdbe4708b44,7f0166dc73f65042fc74,direct_speech_punctuation,language,MiniMax-M3,correct_partial,frustrated,0,False,False,False,True
91c56a896f840c4a70a2,a4a108a209e567b2d4eb,triangle_area,mathematics,glm-5.3,wrong_attempt,calm,1,False,False,False,True
1860370ae1e0cc295279,c926f767d3d14614bd80,sampling_frame_bias,logic_and_data,doubao-seed-2.0-lite,wrong_attempt,frustrated,1,False,False,False,True
eb5ac36c4470c928faf7,3114cdb9321972629085,loop_accumulation,logic_and_data,doubao-seed-2.0-lite,wrong_attempt,calm,0,False,False,False,True
9e5e47366b684a1aff71,6c10348dd76dd372b383,figurative_metaphor,language,glm-5.3,wrong_attempt,frustrated,1,False,False,False,True
c95c1600b659cea061cc,0cb63689cdaafc3f4875,half_life,science,glm-5.3,correct_partial,frustrated,0,False,False,False,True
514d172928d63937fd41,ca0c1a8619905361f05b,figurative_metaphor,language,MiniMax-M3,wrong_attempt,calm,1,False,False,False,True
b1742b7b86e007a403ee,1578c74575c1951b0003,binary_place_value,logic_and_data,MiniMax-M3,wrong_attempt,frustrated,1,False,False,False,True
00d3750966ff5613fb5a,40347447d9f8b3f6b530,homophone_selection,language,MiniMax-M2.7,wrong_attempt,frustrated,0,False,False,False,True
d7c19edc13dffd85a95c,488d9744a846d75963c3,boyles_law,science,MiniMax-M3,correct_partial,calm,0,False,False,False,True
b6c73ec8d278eec8d14b,a51a2805a85272a6d2a1,triangle_area,mathematics,doubao-seed-2.0-lite,correct_partial,calm,1,False,False,False,True
32f85134103a6744d948,55dd924ffbc4a3441c0a,binary_place_value,logic_and_data,MiniMax-M2.7,wrong_attempt,frustrated,1,False,False,False,True
6d21521550c923ee9d7f,07757bc20a3d196c5d07,relative_clause_attachment,language,deepseek-v4-pro,wrong_attempt,calm,1,False,False,False,True
11551ef93ce42ece9a4b,fec2208f4b4172c697f4,active_passive_voice,language,MiniMax-M2.7,correct_partial,calm,0,False,False,False,True
202e49037b4f5647f7ff,c12ba79f96947807cea8,exclusive_or,logic_and_data,MiniMax-M3,wrong_attempt,calm,1,False,False,False,True
29f72988c2335c70ca2b,cb0d5668c677d9d6f954,median,mathematics,MiniMax-M3,wrong_attempt,calm,0,False,False,False,True
3ceecc0f4efb192838d1,3c22fd3a8ece21c4454d,weighted_graph_path,logic_and_data,MiniMax-M3,wrong_attempt,frustrated,1,False,False,False,True
e6899e909434f25fd8ed,4fdaec94a39a293622a2,apostrophe_possession,language,MiniMax-M2.7,wrong_attempt,calm,0,False,False,False,True
b6e09353223a20ed6d9d,5af23e59962723feca77,chemical_equation_balance,science,deepseek-v4-pro,wrong_attempt,frustrated,0,False,False,False,True
d8d1a7bd3fae0f4a44a4,033ff5b8e948c5411be9,rectangular_prism_volume,mathematics,MiniMax-M3,correct_partial,frustrated,1,False,False,False,True
d47e52df2ee719151400,f47b3b39dfffad364d36,kinetic_energy,science,MiniMax-M2.7,wrong_attempt,frustrated,1,False,False,False,True
b4e746efba71e4047bec,2aebd8dbecd5347da52d,exclusive_or,logic_and_data,glm-5.3,correct_partial,frustrated,0,False,False,False,True
3c0891889269935ae6bd,c1dba597dbc8cae3d1ba,exclusive_or,logic_and_data,MiniMax-M2.7,wrong_attempt,calm,1,False,False,False,True
21866bf657fe435722a7,0ea762e698bb10f5da32,kinetic_energy,science,doubao-seed-2.0-lite,wrong_attempt,calm,1,False,False,False,True
f75b08eaaccfd0c7ed6a,e3457816aee7ce9e6a98,pressure,science,glm-5.3,wrong_attempt,calm,0,False,False,False,True
14b6aa6b8fd4ea4383b7,4bd1c85a03b1c872de8b,pressure,science,doubao-seed-2.0-lite,wrong_attempt,frustrated,0,False,False,False,True
e3514964ee4fd4c00407,9e073bff46544f27dff1,half_life,science,deepseek-v4-pro,correct_partial,frustrated,0,False,False,False,True
8f33dc1705a932ab2720,6be76afc0fb6f5963c7f,signed_integer_addition,mathematics,MiniMax-M2.7,correct_partial,calm,0,False,False,False,True
50c07e56f2261d19d267,b302ca1863fac179ff29,median,mathematics,glm-5.3,wrong_attempt,frustrated,1,False,False,False,True
93adec5330355eb04b69,3b16497c197a636ddd51,figurative_metaphor,language,MiniMax-M3,wrong_attempt,calm,0,False,False,False,True
4e3a1329e8dc8342b598,3426352ec5dd3132544a,binary_place_value,logic_and_data,doubao-seed-2.0-lite,wrong_attempt,frustrated,1,False,False,False,True
ab7ccaf2adb2cf10975e,b72c0aca94956eebd9dc,rectangular_prism_volume,mathematics,MiniMax-M3,wrong_attempt,frustrated,1,False,False,False,True
24e716d6d60765851dd2,ba5387692ec25af57868,exclusive_or,logic_and_data,MiniMax-M2.7,wrong_attempt,calm,0,False,False,False,True
5d69e11ae9c427f2d090,37fc92e82a47be9bf2d8,contrast_connective,language,glm-5.3,correct_partial,calm,0,False,False,False,True
fd8d86242f8c706566b8,ee7b5a589659b271b927,relative_clause_attachment,language,doubao-seed-2.0-lite,correct_partial,calm,1,False,False,False,True
f3582e295d790961f134,632561620bd17dcfd763,photosynthesis_inputs,science,deepseek-v4-pro,wrong_attempt,calm,0,False,False,False,True
5a62349c600034d067b5,537c229bc5ccbb48601b,all_different_constraint,logic_and_data,MiniMax-M3,correct_partial,calm,0,False,False,False,True
cce7b79c1c95cdc74d5a,2e2db04496e07eacf2b7,chemical_equation_balance,science,glm-5.3,wrong_attempt,calm,0,False,False,False,True
e5512343d80c07302ea9,4fdead024e9291c74a3b,median,mathematics,doubao-seed-2.0-lite,wrong_attempt,frustrated,0,False,False,False,True
bd8a823bede1e8b3e198,a7b039b04db42bd66abe,kinetic_energy,science,MiniMax-M3,wrong_attempt,frustrated,0,False,False,False,True
4863709450bd77a1c41a,b26cc8f62c9194ccf22c,least_common_multiple,mathematics,MiniMax-M2.7,wrong_attempt,calm,1,False,False,False,True
a48f4e0aef7035c7a08f,3a78df636927bbc52cfd,rectangular_prism_volume,mathematics,doubao-seed-2.0-lite,wrong_attempt,frustrated,1,False,False,False,True
e9887ff2395c840df13b,4b4aeac2771f620babe7,active_passive_voice,language,deepseek-v4-pro,correct_partial,frustrated,1,False,False,False,True
152a5769668bd4a74086,999f00f32f55f989502f,rectangular_prism_volume,mathematics,glm-5.3,correct_partial,calm,0,False,False,False,True
bdc11a31d9a22a6476ff,cc137343d8ec5fc28174,loop_accumulation,logic_and_data,doubao-seed-2.0-lite,correct_partial,frustrated,1,False,False,False,True
5bef5c2d7e7eba22460f,9c509420b47e4ce8a545,binary_place_value,logic_and_data,deepseek-v4-pro,correct_partial,frustrated,0,False,False,False,True
5042f6f819a8c2c7af6f,61c1388aa3c4ce19098c,photosynthesis_inputs,science,glm-5.3,correct_partial,frustrated,0,False,False,False,True
b1b8fbf01ae81208b7f5,27546ca07255d23223ef,pressure,science,glm-5.3,correct_partial,calm,1,False,False,False,True
c00670446f58d7955149,dc2e633a960d8e238ec3,trophic_energy_transfer,science,doubao-seed-2.0-lite,correct_partial,frustrated,1,False,False,False,True
cd23a97ef1cad00b7b81,289c04c7e47a86410173,turning_moment,science,glm-5.3,wrong_attempt,calm,1,False,False,False,True
7354d76bfebc0a305cbe,bcecde76ce2744f44240,signed_integer_addition,mathematics,MiniMax-M2.7,correct_partial,frustrated,1,False,False,False,True
b2a272ae8b3b0e520217,ef421cff542ff05240a6,pigeonhole_principle,logic_and_data,doubao-seed-2.0-lite,wrong_attempt,calm,0,False,False,False,True
800312525709af74ac74,9c7409a66b480aea3a14,all_different_constraint,logic_and_data,MiniMax-M3,correct_partial,frustrated,0,False,False,False,True
ea042cd1d716d9bcf490,010a72cf72f45bb70d4b,rectangular_prism_volume,mathematics,glm-5.3,wrong_attempt,frustrated,1,False,False,False,True
528a8d59ec4f3a60aff6,55e4c27428ce9304070a,rectangular_prism_volume,mathematics,MiniMax-M3,wrong_attempt,calm,0,False,False,False,True
5a8112cdfaf11a66eaa6,4f24f3e495600eb81916,sampling_frame_bias,logic_and_data,doubao-seed-2.0-lite,wrong_attempt,calm,1,False,False,False,True
2a7157f5fdc7f8b287ca,6b077595780ce54d09fd,loop_accumulation,logic_and_data,deepseek-v4-pro,correct_partial,calm,0,False,False,False,True
273e8a32aa55002422ec,c0025f7a4e43989bda77,signed_integer_addition,mathematics,doubao-seed-2.0-lite,wrong_attempt,calm,1,False,False,False,True
5d0db22139802c6dba35,5b38cd3238d03588fbc4,half_life,science,MiniMax-M2.7,wrong_attempt,frustrated,0,False,True,False,False
3212143dcbf7361d0376,cb241f793453747c300d,trophic_energy_transfer,science,glm-5.3,correct_partial,frustrated,0,False,False,False,True
7493d53446f2726b5f45,dfaf25636699f9694bef,parallel_structure,language,MiniMax-M3,wrong_attempt,calm,1,False,False,False,True
16afc2af4c06f97219f6,daabb7950b49f5fc7d72,triangle_area,mathematics,MiniMax-M2.7,wrong_attempt,calm,0,False,False,False,True
e95940f805065d27d0bf,a25afbfb93fb1242e65f,relative_clause_attachment,language,MiniMax-M3,correct_partial,frustrated,1,False,False,False,True
311186e144769116918b,27f27ed48e1c10387878,homophone_selection,language,glm-5.3,wrong_attempt,calm,1,False,False,False,True
b58556eb104649cbd076,4db798dbb33c9bd23688,least_common_multiple,mathematics,glm-5.3,wrong_attempt,frustrated,0,False,False,False,True
c265e53ac859a1a186d1,4d866fcecf4da3d733c6,boyles_law,science,deepseek-v4-pro,correct_partial,frustrated,0,False,False,False,True
ef5e8a2e9073b2de8f05,91690b45b955bfbf278d,homophone_selection,language,MiniMax-M2.7,wrong_attempt,frustrated,1,False,False,False,True
e4cc530b7fee9dbae2a6,eb53102c9093f402304b,trophic_energy_transfer,science,MiniMax-M2.7,correct_partial,calm,0,False,False,False,True
f3422474fbc4b5161432,b04962e58216a588a7ae,least_common_multiple,mathematics,doubao-seed-2.0-lite,wrong_attempt,frustrated,0,False,False,False,True
eff4999ce08c7e2778ec,495aada10418cd756581,pigeonhole_principle,logic_and_data,doubao-seed-2.0-lite,correct_partial,frustrated,1,False,False,False,True
43be903850f8b5cdc7fd,fb0e4ea93f22030686af,relative_clause_attachment,language,MiniMax-M3,wrong_attempt,calm,1,False,False,False,True
73a89799259b80508bcb,300dbb73573d2d442e93,loop_accumulation,logic_and_data,glm-5.3,wrong_attempt,frustrated,1,False,False,False,True
b243a059861dba3a08e0,56ac4395a8f677f117bd,exclusive_or,logic_and_data,MiniMax-M3,wrong_attempt,frustrated,0,False,False,False,True
4508fcb172cb4b9db6da,3540c2d927aaa4038058,photosynthesis_inputs,science,MiniMax-M3,correct_partial,calm,1,False,False,False,True
