arm,model,event,n,agreement,positive_agreement,negative_agreement
canonical,MiniMax-M2.7,affect_acknowledgement,128,0.7421875,0.49230769230769234,0.8272251308900523
canonical,MiniMax-M2.7,answer_reveal,128,0.9765625,0.9881422924901185,0.0
canonical,MiniMax-M2.7,reasoning_elicitation,128,0.8515625,0.0,0.919831223628692
canonical,MiniMax-M3,affect_acknowledgement,128,0.6875,0.7849462365591398,0.42857142857142855
canonical,MiniMax-M3,answer_reveal,128,0.7421875,0.8421052631578947,0.2978723404255319
canonical,MiniMax-M3,reasoning_elicitation,128,0.4921875,0.4715447154471545,0.5112781954887218
canonical,deepseek-v4-pro,affect_acknowledgement,128,0.71875,0.7464788732394366,0.6842105263157895
canonical,deepseek-v4-pro,answer_reveal,128,0.9765625,0.9881422924901185,0.0
canonical,deepseek-v4-pro,reasoning_elicitation,128,0.953125,0.0,0.976
canonical,doubao-seed-2.0-lite,affect_acknowledgement,128,0.90625,0.9210526315789473,0.8846153846153846
canonical,doubao-seed-2.0-lite,answer_reveal,128,1.0,1.0,
canonical,doubao-seed-2.0-lite,reasoning_elicitation,128,0.9609375,0.0,0.9800796812749004
canonical,glm-5.3,affect_acknowledgement,128,0.75,0.7746478873239436,0.7192982456140351
canonical,glm-5.3,answer_reveal,128,0.8046875,0.5283018867924528,0.8768472906403941
canonical,glm-5.3,reasoning_elicitation,128,0.9765625,0.9881422924901185,0.0
explicit,MiniMax-M2.7,affect_acknowledgement,128,0.75,0.5294117647058824,0.8297872340425532
explicit,MiniMax-M2.7,answer_reveal,128,0.984375,0.9921259842519685,0.0
explicit,MiniMax-M2.7,reasoning_elicitation,128,0.8984375,0.3157894736842105,0.9451476793248945
explicit,MiniMax-M3,affect_acknowledgement,128,0.796875,0.8088235294117647,0.7833333333333333
explicit,MiniMax-M3,answer_reveal,128,0.6953125,0.8078817733990148,0.2641509433962264
explicit,MiniMax-M3,reasoning_elicitation,128,0.5703125,0.56,0.5801526717557252
explicit,deepseek-v4-pro,affect_acknowledgement,128,0.734375,0.746268656716418,0.7213114754098361
explicit,deepseek-v4-pro,answer_reveal,128,1.0,1.0,
explicit,deepseek-v4-pro,reasoning_elicitation,128,0.984375,0.0,0.9921259842519685
explicit,doubao-seed-2.0-lite,affect_acknowledgement,128,0.8515625,0.8671328671328671,0.831858407079646
explicit,doubao-seed-2.0-lite,answer_reveal,128,1.0,1.0,
explicit,doubao-seed-2.0-lite,reasoning_elicitation,128,0.921875,0.0,0.959349593495935
explicit,glm-5.3,affect_acknowledgement,128,0.8125,0.8260869565217391,0.7966101694915254
explicit,glm-5.3,answer_reveal,128,0.796875,0.48,0.8737864077669902
explicit,glm-5.3,reasoning_elicitation,128,0.9296875,0.963265306122449,0.18181818181818182
implicit,MiniMax-M2.7,affect_acknowledgement,128,0.765625,0.5714285714285714,0.8387096774193549
implicit,MiniMax-M2.7,answer_reveal,128,0.9765625,0.9881422924901185,0.0
implicit,MiniMax-M2.7,reasoning_elicitation,128,0.90625,0.25,0.95
implicit,MiniMax-M3,affect_acknowledgement,128,0.84375,0.8591549295774648,0.8245614035087719
implicit,MiniMax-M3,answer_reveal,128,0.78125,0.8640776699029126,0.44
implicit,MiniMax-M3,reasoning_elicitation,128,0.5546875,0.5648854961832062,0.544
implicit,deepseek-v4-pro,affect_acknowledgement,128,0.7265625,0.6153846153846154,0.7878787878787878
implicit,deepseek-v4-pro,answer_reveal,128,0.9609375,0.9794238683127572,0.6153846153846154
implicit,deepseek-v4-pro,reasoning_elicitation,128,0.9140625,0.42105263157894735,0.9535864978902954
implicit,doubao-seed-2.0-lite,affect_acknowledgement,128,0.7734375,0.7387387387387387,0.8
implicit,doubao-seed-2.0-lite,answer_reveal,128,0.9921875,0.996078431372549,0.0
implicit,doubao-seed-2.0-lite,reasoning_elicitation,128,0.9453125,0.2222222222222222,0.97165991902834
implicit,glm-5.3,affect_acknowledgement,128,0.90625,0.9090909090909091,0.9032258064516129
implicit,glm-5.3,answer_reveal,128,0.8125,0.6129032258064516,0.8762886597938144
implicit,glm-5.3,reasoning_elicitation,128,0.921875,0.9590163934426229,0.16666666666666666
peer_control,MiniMax-M2.7,affect_acknowledgement,128,0.6015625,0.35443037974683544,0.711864406779661
peer_control,MiniMax-M2.7,answer_reveal,128,0.984375,0.9921259842519685,0.0
peer_control,MiniMax-M2.7,reasoning_elicitation,128,0.8984375,0.13333333333333333,0.946058091286307
peer_control,MiniMax-M3,affect_acknowledgement,128,0.609375,0.7023809523809523,0.4318181818181818
peer_control,MiniMax-M3,answer_reveal,128,0.859375,0.923728813559322,0.1
peer_control,MiniMax-M3,reasoning_elicitation,128,0.6015625,0.3855421686746988,0.7052023121387283
peer_control,deepseek-v4-pro,affect_acknowledgement,128,0.6875,0.696969696969697,0.6774193548387096
peer_control,deepseek-v4-pro,answer_reveal,128,1.0,1.0,
peer_control,deepseek-v4-pro,reasoning_elicitation,128,0.9921875,0.0,0.996078431372549
peer_control,doubao-seed-2.0-lite,affect_acknowledgement,128,0.640625,0.4772727272727273,0.7261904761904762
peer_control,doubao-seed-2.0-lite,answer_reveal,128,1.0,1.0,
peer_control,doubao-seed-2.0-lite,reasoning_elicitation,128,0.9453125,0.0,0.9718875502008032
peer_control,glm-5.3,affect_acknowledgement,128,0.5625,0.6626506024096386,0.37777777777777777
peer_control,glm-5.3,answer_reveal,128,0.75,0.4482758620689655,0.8383838383838383
peer_control,glm-5.3,reasoning_elicitation,128,0.9375,0.967479674796748,0.2
