repeat,task,null_mse,global_model_mse,task_model_mse,train_test_source_overlap,dimension,score_panel,source_policy,relative_mse_reduction
0,longtutor,0.701388888888889,0.5215855262903158,0.4454596966518217,0,affective_warmth,consensus,exclude,0.14595080921805004
0,mathdial_hard,0.9283854166666667,0.6762550991780902,0.6479594946714464,0,affective_warmth,consensus,exclude,0.041841613528731725
0,mathdial_standard,0.859848484848485,0.6224251092233267,0.6042158742303368,0,affective_warmth,consensus,exclude,0.029255302723425913
0,socratic,0.0,0.13810712751520016,0.0,0,affective_warmth,consensus,exclude,1.0
0,ALL_EQUAL_TASK_WEIGHT,0.6224056976010102,0.48959321555173324,0.4244087663884013,0,affective_warmth,consensus,exclude,0.1331400172485523
1,longtutor,0.7013888888888888,0.5332221242108399,0.4925882567041385,0,affective_warmth,consensus,exclude,0.07620439149414304
1,mathdial_hard,0.9283854166666666,0.6950621392521519,0.6759786207584502,0,affective_warmth,consensus,exclude,0.02745584519138755
1,mathdial_standard,0.8598484848484851,0.6251004227290544,0.6036467951618835,0,affective_warmth,consensus,exclude,0.03432028964803613
1,socratic,0.0,0.138199553886193,0.0,0,affective_warmth,consensus,exclude,1.0
1,ALL_EQUAL_TASK_WEIGHT,0.6224056976010102,0.4978960600195598,0.443053418156118,0,affective_warmth,consensus,exclude,0.11014877655647115
2,longtutor,0.701388888888889,0.5271432054098184,0.4587244269822426,0,affective_warmth,consensus,exclude,0.12979163484500345
2,mathdial_hard,0.928385416666667,0.7382824289597665,0.9406237604900012,0,affective_warmth,consensus,exclude,-0.2740703606007959
2,mathdial_standard,0.859848484848485,0.6293206153061529,0.5786091410255227,0,affective_warmth,consensus,exclude,0.08058130156114462
2,socratic,0.0,0.13501724027082715,0.0,0,affective_warmth,consensus,exclude,1.0
2,ALL_EQUAL_TASK_WEIGHT,0.6224056976010102,0.5074408724866413,0.4944893321244416,0,affective_warmth,consensus,exclude,0.025523250223681182
3,longtutor,0.701388888888889,0.5201648443629676,0.46859439220440413,0,affective_warmth,consensus,exclude,0.0991425174489069
3,mathdial_hard,0.9283854166666666,0.6807572663871744,0.6749587875645701,0,affective_warmth,consensus,exclude,0.008517689210101653
3,mathdial_standard,0.8598484848484851,0.6194446420904989,0.5839147334977515,0,affective_warmth,consensus,exclude,0.05735768166924693
3,socratic,0.0,0.1420920064193676,0.0,0,affective_warmth,consensus,exclude,1.0
3,ALL_EQUAL_TASK_WEIGHT,0.6224056976010102,0.4906146898150021,0.4318669783166814,0,affective_warmth,consensus,exclude,0.11974307479556501
4,longtutor,0.701388888888889,0.5199469438590584,0.4589120060353046,0,affective_warmth,consensus,exclude,0.11738685753348421
4,mathdial_hard,0.9283854166666667,0.6834372267402897,0.6700977280966247,0,affective_warmth,consensus,exclude,0.01951824998952556
4,mathdial_standard,0.8598484848484851,0.620414677355313,0.6121870813228839,0,affective_warmth,consensus,exclude,0.01326144646916061
4,socratic,0.0,0.14204757756976535,0.0,0,affective_warmth,consensus,exclude,1.0
4,ALL_EQUAL_TASK_WEIGHT,0.6224056976010102,0.49146160638110664,0.43529920386370335,0,affective_warmth,consensus,exclude,0.11427627669831009
5,longtutor,0.701388888888889,0.5263309383783519,0.4670013587183641,0,affective_warmth,consensus,exclude,0.11272295685825484
5,mathdial_hard,0.9283854166666669,0.6792714281769473,0.6436989320834073,0,affective_warmth,consensus,exclude,0.05236860350362549
5,mathdial_standard,0.8598484848484851,0.6136904541767216,0.5890699439559253,0,affective_warmth,consensus,exclude,0.04011877658065466
5,socratic,0.0,0.13912262304531026,0.0,0,affective_warmth,consensus,exclude,1.0
