blind_id,event,present,unanimous,template,progress,affect,repeat,model,source_family,partition,panel,arm
000de85f3559b68e3844,affect_acknowledgement,0,1,thermal_energy,correct_partial,calm,1,MiniMax-M3,specific_heat,training,main,canonical
0011839caaa9f61025f0,affect_acknowledgement,1,1,fact_opinion,wrong_attempt,frustrated,1,doubao-seed-2.0-lite,fact_opinion,training,main,canonical
0092a9b1c4ccd3f00c15,affect_acknowledgement,0,1,relevant_support,wrong_attempt,calm,0,doubao-seed-2.0-lite,argument_relevance,training,main,canonical
00a9c029518cc9fa86ed,affect_acknowledgement,1,0,arithmetic_sequence,correct_partial,frustrated,1,glm-5.3,arithmetic_sequence,training,main,canonical
00d665a5c51c08b5c0c2,affect_acknowledgement,0,1,expected_points,correct_partial,calm,0,glm-5.3,expected_value,training,main,canonical
00d895b8a069659fce47,affect_acknowledgement,1,1,food_chain,correct_partial,frustrated,0,doubao-seed-2.0-lite,food_web_relations,training,main,canonical
025f6784df68b49207cc,affect_acknowledgement,0,1,expected_points,correct_partial,frustrated,0,glm-5.3,expected_value,training,main,canonical
028d411bbb16b9addddf,affect_acknowledgement,1,1,experimental_variable,wrong_attempt,frustrated,1,doubao-seed-2.0-lite,experimental_design,training,main,canonical
02c3562ff91ebddf11d1,affect_acknowledgement,0,1,conditional_inference,correct_partial,calm,0,doubao-seed-2.0-lite,conditional_inference,training,main,canonical
02fcf1e01ab1c5c5b98e,affect_acknowledgement,0,1,map_scale,wrong_attempt,calm,0,doubao-seed-2.0-lite,unit_conversion,training,main,canonical
039baf32beb6e345cb77,affect_acknowledgement,0,1,experimental_variable,wrong_attempt,calm,0,doubao-seed-2.0-lite,experimental_design,training,main,canonical
03b9c493862e8b6f7732,affect_acknowledgement,1,1,fact_opinion,correct_partial,frustrated,1,glm-5.3,fact_opinion,training,main,canonical
051fb731cfb7aaee6a42,affect_acknowledgement,1,1,conservation_of_mass,wrong_attempt,calm,0,deepseek-v4-pro,conservation_of_mass,training,main,canonical
056530dfc423318f842d,affect_acknowledgement,1,1,thermal_energy,correct_partial,frustrated,0,MiniMax-M2.7,specific_heat,training,main,canonical
057f70c081b827c2baf3,affect_acknowledgement,1,1,net_force,correct_partial,frustrated,0,MiniMax-M2.7,newtons_second_law,training,main,canonical
0586a5c80d5e18357a9b,affect_acknowledgement,0,1,set_entailment,wrong_attempt,calm,0,deepseek-v4-pro,set_entailment,training,main,canonical
05ed757c6f15c100cdbc,affect_acknowledgement,0,1,pronoun_reference,correct_partial,calm,1,MiniMax-M2.7,pronoun_reference,training,main,canonical
06542a6fc8ddcf037ea8,affect_acknowledgement,1,1,food_chain,wrong_attempt,frustrated,1,glm-5.3,food_web_relations,training,main,canonical
06be65e009e390f8b68a,affect_acknowledgement,0,1,simple_inheritance,correct_partial,calm,1,doubao-seed-2.0-lite,mendelian_inheritance,training,main,canonical
06bee78de97a1fb4c8c0,affect_acknowledgement,1,1,wave_speed,wrong_attempt,calm,0,MiniMax-M3,wave_speed,training,main,canonical
073e4b9a1e7f09a3c6f6,affect_acknowledgement,1,1,main_idea,correct_partial,frustrated,0,MiniMax-M2.7,main_idea,training,main,canonical
076c42e07793854aae0c,affect_acknowledgement,0,1,discount_price,wrong_attempt,calm,1,doubao-seed-2.0-lite,discount_price,training,main,canonical
07b0df52365d00e0f42a,affect_acknowledgement,0,1,arithmetic_sequence,wrong_attempt,calm,1,MiniMax-M3,arithmetic_sequence,training,main,canonical
07f512d41882fdfc3353,affect_acknowledgement,1,1,classifier_precision,wrong_attempt,frustrated,1,doubao-seed-2.0-lite,classification_metrics,training,main,canonical
081bb6b7dafdbdf6147c,affect_acknowledgement,1,1,food_chain,correct_partial,frustrated,1,MiniMax-M3,food_web_relations,training,main,canonical
0835536de2d1b4576d98,affect_acknowledgement,1,1,wave_speed,wrong_attempt,frustrated,0,MiniMax-M2.7,wave_speed,training,main,canonical
085f304c7bc717b2d83b,affect_acknowledgement,0,1,arithmetic_sequence,wrong_attempt,calm,1,deepseek-v4-pro,arithmetic_sequence,training,main,canonical
08b2fb45770c29328b74,affect_acknowledgement,0,1,modifier_attachment,correct_partial,frustrated,0,deepseek-v4-pro,modifier_attachment,training,main,canonical
08d8629e160cd8429ae6,affect_acknowledgement,0,1,subject_verb_agreement,correct_partial,frustrated,1,MiniMax-M2.7,subject_verb_agreement,training,main,canonical
093a69e065b00efa4dc9,affect_acknowledgement,1,1,ordering_constraints,wrong_attempt,frustrated,0,MiniMax-M3,ordering_constraints,training,main,canonical
096a809bc0c5cc3c11fe,affect_acknowledgement,1,1,subject_verb_agreement,wrong_attempt,calm,0,deepseek-v4-pro,subject_verb_agreement,training,main,canonical
09802f7574adcc01b9f7,affect_acknowledgement,0,1,experimental_variable,wrong_attempt,calm,1,MiniMax-M2.7,experimental_design,training,main,canonical
09f2090997f0d21b2624,affect_acknowledgement,1,1,ordering_constraints,wrong_attempt,calm,0,MiniMax-M3,ordering_constraints,training,main,canonical
0a1e1ff687010dd27ed4,affect_acknowledgement,0,1,map_scale,correct_partial,calm,0,MiniMax-M3,unit_conversion,training,main,canonical
0ae183a67ff75ff4e31f,affect_acknowledgement,1,1,food_chain,wrong_attempt,calm,1,glm-5.3,food_web_relations,training,main,canonical
0b2a30d705a3378cbfe9,affect_acknowledgement,1,0,net_force,wrong_attempt,frustrated,0,MiniMax-M2.7,newtons_second_law,training,main,canonical
0b4d63c14809f9744b94,affect_acknowledgement,1,1,universal_counterexample,correct_partial,frustrated,1,MiniMax-M2.7,counterexample,training,main,canonical
0bab4e6c0d0a3c66726c,affect_acknowledgement,1,0,relevant_support,wrong_attempt,frustrated,1,MiniMax-M2.7,argument_relevance,training,main,canonical
0bf2f2df315a0de10bee,affect_acknowledgement,1,1,classifier_precision,correct_partial,calm,0,MiniMax-M3,classification_metrics,training,main,canonical
0c1a73fbf9eea7d76f54,affect_acknowledgement,1,1,net_force,correct_partial,frustrated,0,doubao-seed-2.0-lite,newtons_second_law,training,main,canonical
0c3765a6f71dd21ebfdf,affect_acknowledgement,0,1,ratio_partition,wrong_attempt,calm,0,glm-5.3,ratio_partition,training,main,canonical
0c6f6d5c1bd4bb0c928e,affect_acknowledgement,0,1,experimental_variable,correct_partial,calm,0,MiniMax-M2.7,experimental_design,training,main,canonical
0c7425c1807a56193931,affect_acknowledgement,0,1,arithmetic_mean,wrong_attempt,calm,0,doubao-seed-2.0-lite,averaging,training,main,canonical
0cef2200c5d1aaa909a9,affect_acknowledgement,0,1,ratio_partition,correct_partial,calm,0,deepseek-v4-pro,ratio_partition,training,main,canonical
0d3c585eb56a230ad9db,affect_acknowledgement,0,1,comma_splice,wrong_attempt,calm,0,MiniMax-M3,clause_punctuation,training,main,canonical
0d8fa499fc7e56017c1c,affect_acknowledgement,1,1,pronoun_reference,wrong_attempt,frustrated,1,doubao-seed-2.0-lite,pronoun_reference,training,main,canonical
0dd03c0875c12ace0635,affect_acknowledgement,0,0,comma_splice,wrong_attempt,frustrated,0,MiniMax-M2.7,clause_punctuation,training,main,canonical
0e0537c33896a2d4f092,affect_acknowledgement,0,1,thermal_energy,correct_partial,calm,0,MiniMax-M2.7,specific_heat,training,main,canonical
0eb77d92a536b8d1efb4,affect_acknowledgement,0,1,map_scale,correct_partial,frustrated,1,MiniMax-M2.7,unit_conversion,training,main,canonical
0ec35b60d4ac5ab9c326,affect_acknowledgement,0,1,subject_verb_agreement,wrong_attempt,calm,0,MiniMax-M3,subject_verb_agreement,training,main,canonical
0ed187c6b1610ea04c55,affect_acknowledgement,1,1,rectangle_width,wrong_attempt,calm,0,MiniMax-M3,rectangle_perimeter,training,main,canonical
0f0cddcba637413c033f,affect_acknowledgement,0,1,thermal_energy,correct_partial,calm,0,doubao-seed-2.0-lite,specific_heat,training,main,canonical
0f297d7d2dd9227f11d4,affect_acknowledgement,1,1,net_force,correct_partial,frustrated,1,MiniMax-M3,newtons_second_law,training,main,canonical
0fa1cad47a564babfba4,affect_acknowledgement,0,0,past_tense,correct_partial,frustrated,1,MiniMax-M2.7,tense_consistency,training,main,canonical
10007121ec15c08de509,affect_acknowledgement,0,1,expected_points,wrong_attempt,calm,1,MiniMax-M3,expected_value,training,main,canonical
