dimension,judge_left,judge_right,models,model_profile_spearman
instructional_agency,MiniMax-M3,MiniMax-M2.7,6,0.7714285714285715
instructional_agency,MiniMax-M3,glm-5.2,6,0.8857142857142858
instructional_agency,MiniMax-M3,deepseek-v4-pro,6,0.9276336570439175
instructional_agency,MiniMax-M2.7,glm-5.2,6,0.7142857142857143
instructional_agency,MiniMax-M2.7,deepseek-v4-pro,6,0.7826908981308054
instructional_agency,glm-5.2,deepseek-v4-pro,6,0.9856107606091623
relational_communion,MiniMax-M3,MiniMax-M2.7,6,0.823529411764706
relational_communion,MiniMax-M3,glm-5.2,6,0.898645105261295
relational_communion,MiniMax-M3,deepseek-v4-pro,6,0.8116794499134278
relational_communion,MiniMax-M2.7,glm-5.2,6,0.898645105261295
relational_communion,MiniMax-M2.7,deepseek-v4-pro,6,0.9856107606091624
relational_communion,glm-5.2,deepseek-v4-pro,6,0.942857142857143
information_structure,MiniMax-M3,MiniMax-M2.7,6,0.1878672873255449
information_structure,MiniMax-M3,glm-5.2,6,0.6230345439947554
information_structure,MiniMax-M3,deepseek-v4-pro,6,0.6262242910851495
information_structure,MiniMax-M2.7,glm-5.2,6,0.12320822072673948
information_structure,MiniMax-M2.7,deepseek-v4-pro,6,0.6764705882352942
information_structure,glm-5.2,deepseek-v4-pro,6,0.5852390484520126
learner_contingency,MiniMax-M3,MiniMax-M2.7,6,0.753702346348183
learner_contingency,MiniMax-M3,glm-5.2,6,0.7142857142857143
learner_contingency,MiniMax-M3,deepseek-v4-pro,6,0.8986451052612952
learner_contingency,MiniMax-M2.7,glm-5.2,6,0.6377481392176932
learner_contingency,MiniMax-M2.7,deepseek-v4-pro,6,0.7500000000000001
learner_contingency,glm-5.2,deepseek-v4-pro,6,0.9276336570439175
