benchmark,task,arm,split,item_id,pair_id,model,response_sha256,dimension,score,score_mean,judge_count
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,deepseek-v4-pro,db7fa36e59993253b3069d213cbd62f4e3f94a796b27e0cf66eb1f51c00a40a4,information_structure,3.0,3.25,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,deepseek-v4-pro,db7fa36e59993253b3069d213cbd62f4e3f94a796b27e0cf66eb1f51c00a40a4,instructional_agency,2.0,2.0,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,deepseek-v4-pro,db7fa36e59993253b3069d213cbd62f4e3f94a796b27e0cf66eb1f51c00a40a4,learner_contingency,3.5,3.5,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,deepseek-v4-pro,db7fa36e59993253b3069d213cbd62f4e3f94a796b27e0cf66eb1f51c00a40a4,relational_communion,3.0,2.75,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,doubao-seed-2.0-pro,a2da4ce02604a2d8cc8637a71081589b59b66c41aa9e3bd687698ad44aff1f93,information_structure,3.5,3.5,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,doubao-seed-2.0-pro,a2da4ce02604a2d8cc8637a71081589b59b66c41aa9e3bd687698ad44aff1f93,instructional_agency,1.0,1.5,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,doubao-seed-2.0-pro,a2da4ce02604a2d8cc8637a71081589b59b66c41aa9e3bd687698ad44aff1f93,learner_contingency,3.0,3.0,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,doubao-seed-2.0-pro,a2da4ce02604a2d8cc8637a71081589b59b66c41aa9e3bd687698ad44aff1f93,relational_communion,3.0,3.25,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,glm-5.2,5f9d2fe86e3d1c21cc7cb4bd1974cf27f6349ade9e50443fba7f363a2d8c54b8,information_structure,4.0,4.0,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,glm-5.2,5f9d2fe86e3d1c21cc7cb4bd1974cf27f6349ade9e50443fba7f363a2d8c54b8,instructional_agency,4.0,3.75,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,glm-5.2,5f9d2fe86e3d1c21cc7cb4bd1974cf27f6349ade9e50443fba7f363a2d8c54b8,learner_contingency,3.0,3.0,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,glm-5.2,5f9d2fe86e3d1c21cc7cb4bd1974cf27f6349ade9e50443fba7f363a2d8c54b8,relational_communion,3.0,3.25,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,minimax-m2.7,3cf35ea7d2a28c95fcbc059b7ac96ca473a60aac57487c7302247367442aecf0,information_structure,3.5,3.5,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,minimax-m2.7,3cf35ea7d2a28c95fcbc059b7ac96ca473a60aac57487c7302247367442aecf0,instructional_agency,1.0,1.5,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,minimax-m2.7,3cf35ea7d2a28c95fcbc059b7ac96ca473a60aac57487c7302247367442aecf0,learner_contingency,3.0,3.0,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,minimax-m2.7,3cf35ea7d2a28c95fcbc059b7ac96ca473a60aac57487c7302247367442aecf0,relational_communion,3.0,3.0,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,minimax-m3,c5711d295ba34f35e050f55172f458e84c490202ca72ec9a5eab4dfbe4b06c22,information_structure,4.0,4.0,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,minimax-m3,c5711d295ba34f35e050f55172f458e84c490202ca72ec9a5eab4dfbe4b06c22,instructional_agency,2.0,2.0,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,minimax-m3,c5711d295ba34f35e050f55172f458e84c490202ca72ec9a5eab4dfbe4b06c22,learner_contingency,3.0,3.25,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,minimax-m3,c5711d295ba34f35e050f55172f458e84c490202ca72ec9a5eab4dfbe4b06c22,relational_communion,3.0,3.25,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,qwen3.5-4b,cdb80e163cdec6de3f644b8efa4e63a3f01e3b6189ce7bb965b962dbfa61278e,information_structure,3.0,3.25,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,qwen3.5-4b,cdb80e163cdec6de3f644b8efa4e63a3f01e3b6189ce7bb965b962dbfa61278e,instructional_agency,2.0,1.75,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,qwen3.5-4b,cdb80e163cdec6de3f644b8efa4e63a3f01e3b6189ce7bb965b962dbfa61278e,learner_contingency,1.5,1.75,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-10,10,qwen3.5-4b,cdb80e163cdec6de3f644b8efa4e63a3f01e3b6189ce7bb965b962dbfa61278e,relational_communion,4.0,4.25,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-189,189,deepseek-v4-pro,c4af5ef3268786276f610c441c3a755fc9bfcbfc5ffd4d2a9efbc37c3410739f,information_structure,4.0,4.0,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-189,189,deepseek-v4-pro,c4af5ef3268786276f610c441c3a755fc9bfcbfc5ffd4d2a9efbc37c3410739f,instructional_agency,3.0,3.0,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-189,189,deepseek-v4-pro,c4af5ef3268786276f610c441c3a755fc9bfcbfc5ffd4d2a9efbc37c3410739f,learner_contingency,3.0,3.0,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-189,189,deepseek-v4-pro,c4af5ef3268786276f610c441c3a755fc9bfcbfc5ffd4d2a9efbc37c3410739f,relational_communion,2.0,2.25,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,pilot,pedagogy-189,189,doubao-seed-2.0-pro,97923bd9e1286b7ffceb5d3e799d42bc7c4a1682c6e747574920a700da6aedd1,information_structure,4.0,4.0,4
