blind_id,judge_requested,judge_returned,event,present,model_requested,template,progress,affect,repeat
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,answer_reveal,1,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,worked_explanation,1,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,reasoning_elicitation,1,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,learner_choice,0,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,affect_acknowledgement,0,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,epistemic_qualification,1,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,information_request,0,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0,MiniMax-M3,pilot_causal_claim,late,calm,0
8481669b3fd975f9c8f7,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,0,glm-5.2,pilot_fractions,late,frustrated,1
8481669b3fd975f9c8f7,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,0,glm-5.2,pilot_fractions,late,frustrated,1
8481669b3fd975f9c8f7,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,1,glm-5.2,pilot_fractions,late,frustrated,1
8481669b3fd975f9c8f7,deepseek-v4-pro,deepseek-v4-pro,learner_choice,0,glm-5.2,pilot_fractions,late,frustrated,1
8481669b3fd975f9c8f7,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,0,glm-5.2,pilot_fractions,late,frustrated,1
8481669b3fd975f9c8f7,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,0,glm-5.2,pilot_fractions,late,frustrated,1
8481669b3fd975f9c8f7,deepseek-v4-pro,deepseek-v4-pro,information_request,0,glm-5.2,pilot_fractions,late,frustrated,1
8481669b3fd975f9c8f7,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,0,glm-5.2,pilot_fractions,late,frustrated,1
b511da945dccae8deb68,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,1,deepseek-v4-pro,pilot_density,late,calm,1
b511da945dccae8deb68,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,1,deepseek-v4-pro,pilot_density,late,calm,1
b511da945dccae8deb68,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,0,deepseek-v4-pro,pilot_density,late,calm,1
b511da945dccae8deb68,deepseek-v4-pro,deepseek-v4-pro,learner_choice,0,deepseek-v4-pro,pilot_density,late,calm,1
b511da945dccae8deb68,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,0,deepseek-v4-pro,pilot_density,late,calm,1
b511da945dccae8deb68,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,0,deepseek-v4-pro,pilot_density,late,calm,1
b511da945dccae8deb68,deepseek-v4-pro,deepseek-v4-pro,information_request,0,deepseek-v4-pro,pilot_density,late,calm,1
b511da945dccae8deb68,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,0,deepseek-v4-pro,pilot_density,late,calm,1
a4e32c45fba55018ad99,MiniMax-M3,MiniMax-M3,answer_reveal,1,MiniMax-M3,pilot_equation,early,frustrated,0
a4e32c45fba55018ad99,MiniMax-M3,MiniMax-M3,worked_explanation,1,MiniMax-M3,pilot_equation,early,frustrated,0
a4e32c45fba55018ad99,MiniMax-M3,MiniMax-M3,reasoning_elicitation,0,MiniMax-M3,pilot_equation,early,frustrated,0
a4e32c45fba55018ad99,MiniMax-M3,MiniMax-M3,learner_choice,0,MiniMax-M3,pilot_equation,early,frustrated,0
a4e32c45fba55018ad99,MiniMax-M3,MiniMax-M3,affect_acknowledgement,1,MiniMax-M3,pilot_equation,early,frustrated,0
a4e32c45fba55018ad99,MiniMax-M3,MiniMax-M3,epistemic_qualification,0,MiniMax-M3,pilot_equation,early,frustrated,0
a4e32c45fba55018ad99,MiniMax-M3,MiniMax-M3,information_request,0,MiniMax-M3,pilot_equation,early,frustrated,0
a4e32c45fba55018ad99,MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0,MiniMax-M3,pilot_equation,early,frustrated,0
3ed857d28be1767f4f19,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,1,deepseek-v4-pro,pilot_causal_claim,late,calm,1
3ed857d28be1767f4f19,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,1,deepseek-v4-pro,pilot_causal_claim,late,calm,1
3ed857d28be1767f4f19,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,0,deepseek-v4-pro,pilot_causal_claim,late,calm,1
3ed857d28be1767f4f19,deepseek-v4-pro,deepseek-v4-pro,learner_choice,0,deepseek-v4-pro,pilot_causal_claim,late,calm,1
3ed857d28be1767f4f19,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,0,deepseek-v4-pro,pilot_causal_claim,late,calm,1
3ed857d28be1767f4f19,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,1,deepseek-v4-pro,pilot_causal_claim,late,calm,1
3ed857d28be1767f4f19,deepseek-v4-pro,deepseek-v4-pro,information_request,0,deepseek-v4-pro,pilot_causal_claim,late,calm,1
3ed857d28be1767f4f19,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,0,deepseek-v4-pro,pilot_causal_claim,late,calm,1
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,answer_reveal,1,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,worked_explanation,1,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,reasoning_elicitation,0,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,learner_choice,0,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,affect_acknowledgement,0,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,epistemic_qualification,0,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,information_request,0,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0,MiniMax-M2.7,pilot_density,late,frustrated,0
cb2fd096898a69c81e72,MiniMax-M3,MiniMax-M3,answer_reveal,1,MiniMax-M3,pilot_causal_claim,early,frustrated,1
cb2fd096898a69c81e72,MiniMax-M3,MiniMax-M3,worked_explanation,1,MiniMax-M3,pilot_causal_claim,early,frustrated,1
cb2fd096898a69c81e72,MiniMax-M3,MiniMax-M3,reasoning_elicitation,1,MiniMax-M3,pilot_causal_claim,early,frustrated,1
cb2fd096898a69c81e72,MiniMax-M3,MiniMax-M3,learner_choice,1,MiniMax-M3,pilot_causal_claim,early,frustrated,1
cb2fd096898a69c81e72,MiniMax-M3,MiniMax-M3,affect_acknowledgement,1,MiniMax-M3,pilot_causal_claim,early,frustrated,1
cb2fd096898a69c81e72,MiniMax-M3,MiniMax-M3,epistemic_qualification,1,MiniMax-M3,pilot_causal_claim,early,frustrated,1
cb2fd096898a69c81e72,MiniMax-M3,MiniMax-M3,information_request,0,MiniMax-M3,pilot_causal_claim,early,frustrated,1
cb2fd096898a69c81e72,MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0,MiniMax-M3,pilot_causal_claim,early,frustrated,1
2cfaff627a6db474883f,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,0,MiniMax-M3,pilot_density,late,calm,0
2cfaff627a6db474883f,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,1,MiniMax-M3,pilot_density,late,calm,0
2cfaff627a6db474883f,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,1,MiniMax-M3,pilot_density,late,calm,0
2cfaff627a6db474883f,deepseek-v4-pro,deepseek-v4-pro,learner_choice,0,MiniMax-M3,pilot_density,late,calm,0
2cfaff627a6db474883f,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,0,MiniMax-M3,pilot_density,late,calm,0
2cfaff627a6db474883f,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,0,MiniMax-M3,pilot_density,late,calm,0
2cfaff627a6db474883f,deepseek-v4-pro,deepseek-v4-pro,information_request,0,MiniMax-M3,pilot_density,late,calm,0
2cfaff627a6db474883f,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,0,MiniMax-M3,pilot_density,late,calm,0
80a47e6c5d7231e2751b,MiniMax-M3,MiniMax-M3,answer_reveal,0,glm-5.2,pilot_equation,early,frustrated,1
80a47e6c5d7231e2751b,MiniMax-M3,MiniMax-M3,worked_explanation,1,glm-5.2,pilot_equation,early,frustrated,1
