context_id,target_act,target_binary_action,model,ask_executor_question_realized,explain_executor_no_question_realized,single_pass_binary_action,single_pass_target_match,single_pass_response_sha256,ask_executor_response_sha256,explain_executor_response_sha256,selector_ask_first_selected_action,selector_ask_first_valid,selector_ask_first_target_match,selector_ask_first_composed_action,selector_ask_first_composed_target_match,selector_ask_first_response_sha256,selector_ask_first_composed_response_sha256,selector_explain_first_selected_action,selector_explain_first_valid,selector_explain_first_target_match,selector_explain_first_composed_action,selector_explain_first_composed_target_match,selector_explain_first_response_sha256,selector_explain_first_composed_response_sha256
scaffolding-1085,telling,EXPLAIN,MiniMax-M3,1,1,EXPLAIN,1,9aa779cbe433d0e1a690c07117d373ddfb5ddf49af5ed100a71cfd6ed15b3819,de9fdf75716547b239f9e5b87b162129da9bcf91504c60cc065f1568ff31f0fb,2313df10e974598c603b06578dfa0119cf2cd62d9fe704c6cf8e0696ff84514b,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,de9fdf75716547b239f9e5b87b162129da9bcf91504c60cc065f1568ff31f0fb,EXPLAIN,1,1,EXPLAIN,1,a42f134d4d2368c38044ed4cc1c8c1f2bf2affd7d4c5bf490f6be947b06024e7,2313df10e974598c603b06578dfa0119cf2cd62d9fe704c6cf8e0696ff84514b
scaffolding-1085,telling,EXPLAIN,MiniMax-M2.7,1,1,ASK,0,3c423602be373c1e30813411509cf348078e7ea13787aa1a3e04fb3585e35cff,f914f302658ddbe9728b23cb653f03d12d5056d18d5821d1df1055b057a968ed,0c1de7cad4b7c7f772e0d5c71524c313d0df245658a701984516b42b16585981,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,f914f302658ddbe9728b23cb653f03d12d5056d18d5821d1df1055b057a968ed,EXPLAIN,1,1,EXPLAIN,1,a42f134d4d2368c38044ed4cc1c8c1f2bf2affd7d4c5bf490f6be947b06024e7,0c1de7cad4b7c7f772e0d5c71524c313d0df245658a701984516b42b16585981
scaffolding-1085,telling,EXPLAIN,glm-5.2,1,1,ASK,0,808deadd0b47da2e814f76a6866c430f93cef6bb6f5f3f4a1802ec6e6d482668,6e8307a4b5f70b2db905bdea4e415d857759a2eb4081811cd6c1b32507c8cb95,e1e79cc61b7f05f67276e7cac98d006d992af03178c8e583ef3f1ba49653ec29,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,6e8307a4b5f70b2db905bdea4e415d857759a2eb4081811cd6c1b32507c8cb95,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,6e8307a4b5f70b2db905bdea4e415d857759a2eb4081811cd6c1b32507c8cb95
scaffolding-1085,telling,EXPLAIN,deepseek-v4-pro,1,1,EXPLAIN,1,324d66b72258b41ae54b5f068b32278cddd42100d6ec438e4bfa554065938e4a,e7acc2adf05138c0b1dcbff13eac9f29c6b57ed7f3fb36093c925b6b3950bdee,3a4e3120146b730ff552d8ae5fb8e5ce3de812dd0ab4db4532869e304fde12a0,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,e7acc2adf05138c0b1dcbff13eac9f29c6b57ed7f3fb36093c925b6b3950bdee,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,e7acc2adf05138c0b1dcbff13eac9f29c6b57ed7f3fb36093c925b6b3950bdee
scaffolding-1085,telling,EXPLAIN,doubao-seed-2.0-lite,1,1,ASK,0,053bb0ad1724c58d61c5c53f2e5e306dfc25d9f7df15848dd5ca676b2d18519c,1be7e3ad9a40f923c7791dcd72e7e63aee8f79c4a91729e0ef4907cd1273dc0b,3c5905ede989b6198ad8c4bb7c91561cc8578b9420a580efcd8563cf90759a4a,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,1be7e3ad9a40f923c7791dcd72e7e63aee8f79c4a91729e0ef4907cd1273dc0b,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,1be7e3ad9a40f923c7791dcd72e7e63aee8f79c4a91729e0ef4907cd1273dc0b
scaffolding-11,telling,EXPLAIN,MiniMax-M3,1,1,EXPLAIN,1,76e7e91da0077cdb474694f7d8e2e1cb232d6f2d9453e27a6adaaa93ec14fbc3,d58cbc166d2441bfef42b056e3cd2efac909f11d7b567b8b5a2de6c6bd9f64ef,229050c08e0c5bf51f42174128f02f9a7c916ca228a9f7c6db6194c7be6eb7b6,EXPLAIN,1,1,EXPLAIN,1,a42f134d4d2368c38044ed4cc1c8c1f2bf2affd7d4c5bf490f6be947b06024e7,229050c08e0c5bf51f42174128f02f9a7c916ca228a9f7c6db6194c7be6eb7b6,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,d58cbc166d2441bfef42b056e3cd2efac909f11d7b567b8b5a2de6c6bd9f64ef
scaffolding-11,telling,EXPLAIN,MiniMax-M2.7,1,1,EXPLAIN,1,1f7a2bbc313e45e3504f9bc9cc5a2f248b28ac0fc32efcdcedca8d78beed7368,ea8b8a34ac908695365b68b5b99accb15fdef7b856e6304cffc1fd7e4a951cc8,51bdb15e75a3e52277e936d5e27de61bbba842a6c65a04d22cdf7e0fa5fbebba,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,ea8b8a34ac908695365b68b5b99accb15fdef7b856e6304cffc1fd7e4a951cc8,EXPLAIN,1,1,EXPLAIN,1,a42f134d4d2368c38044ed4cc1c8c1f2bf2affd7d4c5bf490f6be947b06024e7,51bdb15e75a3e52277e936d5e27de61bbba842a6c65a04d22cdf7e0fa5fbebba
scaffolding-11,telling,EXPLAIN,glm-5.2,1,1,ASK,0,ff69d639490c7da0bf75bdc8b8def80a15897810bb47052cc055b18dba213011,ca7651850d7d50d3062a189cf757b10d5b10d48d547a49841ab00ae8bb4f4307,97a535cdb28c87b59131cceaedf09d41fe656b73f05fc24c74b502b61dd02579,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,ca7651850d7d50d3062a189cf757b10d5b10d48d547a49841ab00ae8bb4f4307,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,ca7651850d7d50d3062a189cf757b10d5b10d48d547a49841ab00ae8bb4f4307
scaffolding-11,telling,EXPLAIN,deepseek-v4-pro,1,1,EXPLAIN,1,34bb4814dace00ace21ac40b19894c9cf08fbd6a9d4697b6dd938eb5a5ab20a0,e20e9160ee9bc0878b0f2c8be80e3fde15f914a92e31c4fbc490fc9e8a9e2b81,2ae1adda9074af2854f08403559398c1b77f0d0881ae5ad964593d0abebc1d45,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,e20e9160ee9bc0878b0f2c8be80e3fde15f914a92e31c4fbc490fc9e8a9e2b81,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,e20e9160ee9bc0878b0f2c8be80e3fde15f914a92e31c4fbc490fc9e8a9e2b81
scaffolding-11,telling,EXPLAIN,doubao-seed-2.0-lite,1,1,ASK,0,69856dc87aea721b89eb4cc1ae55ff60e03783745b03e58db995bb45be015b1f,a4e6a6ddf81825c9561d3c7cd0c5b2c6d9bdbf28ec5b127dff5c7d74adf250a3,9155c940a3942167aafc5aa68e333600b12de288b878f9432189819e306bcc6b,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,a4e6a6ddf81825c9561d3c7cd0c5b2c6d9bdbf28ec5b127dff5c7d74adf250a3,ASK,1,0,ASK,0,6d6125cc4538aaec9dbef490ab1091a6cb4af5348f96a5cb0bfeeeda6edfebbe,a4e6a6ddf81825c9561d3c7cd0c5b2c6d9bdbf28ec5b127dff5c7d74adf250a3
